,User,Date Created,Tweet
0,emha_abe,2022-12-13 23:49:37+00:00,"@MbahSular @RifaniAfwan @giginpraginanto Dia kok nggak bilang, acara jalan² AHY ke Australia dibatalkan... Atau acara kampanye capres gelapnya pak Anies ke berbagai daerah ditunda yak ?
Kadrun mah emang otaknya miring mbah 🤣"
1,dwikiprazz,2022-12-13 23:42:47+00:00,AHY LANTIK 38 KETUA DPC SE JATIM - SIAP BIRUKAN JAWA TIMUR
2,AndromedaTonk13,2022-12-13 23:42:46+00:00,AHY LANTIK 38 KETUA DPC SE JATIM - SIAP BIRUKAN JAWA TIMUR
3,AHY_Galery,2022-12-13 23:42:46+00:00,Untuk Demokrat Juara✊ #AHYPimpinPerubahan #AHYPolitikusMendunia #AHYHarapanRakyat https://t.co/o504qmwt6i
4,gibranleklok,2022-12-13 23:42:05+00:00,TEGAS ! AHY TOLAK KEMENANGAN DENGAN POLITIK IDENTITAS https://t.co/uGAa3Sdj5X #AHYPimpinPerubahan
5,joniantonioloro,2022-12-13 23:42:01+00:00,"MESKI FITNAH BUZZER MENYERANG, AHY TETAP MILIKI MODAL KUAT MEMIMPIN INDONESIA! https://t.co/uv8c6aFB8p #AHYPimpinPerubahan"
6,BobbyDarmanto27,2022-12-13 23:41:57+00:00,mas EmilDardak konsisten dukung penuh ketum AHY #AHYPimpinPerubahan
7,arafah_5,2022-12-13 23:41:56+00:00,Demokrat Jateng luar biasa https://t.co/cn7tiaUFdb #AHY
8,NarjiXeries7788,2022-12-13 23:41:31+00:00,AHY selalu mengandalkan bacotnya !!  https://t.co/kdg0IFBrls #AHYGagaldiTNIGagaldiPolitik #AHYgagalNyapres #HambalangMangkrak #SBYTurunGunung
9,CeritaAHY_,2022-12-13 23:41:04+00:00,SBY dan AHY Hadiri Resepsi Pernikahan Putri Anies Baswedan https://t.co/DjEtcR7heA #AHYPimpinPerubahan
10,ThooriqAt,2022-12-13 23:39:12+00:00,"KATA BING KARNO ORANG YG MENGGEBU GEBU INGIN JADI PEMIMPIN ITU BUKAN ORANG YG BAIK,
Berati anis DAN ahy bukan orang yg baik kalau jadi pemimpin"
11,bendot219,2022-12-13 23:37:30+00:00,"@YanHarahap YAH vs AHY  sama sama parah brooo, ngibulnya."
12,JustKaka04,2022-12-13 23:22:07+00:00,"@BronxMas @elleanor12 @aa_gigin @dedimahardi Mungkin krn AHY kluarga mantan presiden, klo Anis cuma mantan gubernur kan!
😜😊👌"
