,User,Date Created,Tweet
0,syueb2011,2022-12-30 23:59:42+00:00,"@Ivonedarm @tatakujiyati @aniesbaswedan Namanya juga bukan uang pribadi, harus terbuka pertanggungjawabannya. Adakah link pertanggungjawaban yang bisa diakses publik?"
1,Didik81951800,2022-12-30 23:59:29+00:00,@the3brothers2 @ekowBoy @MCAOps @Mdy_Asmara1701 @maspiyuaja @hnurwahid @Pendukung_ANIES @aniesbaswedan @PKSejahtera @MS_Didu @Muhammad_Saewad @AdhieMassardi @marlina_idha @bos_sir @jagadmana @Relawananies @musniumar @sutanmangara @JarnasABW Ambil tindakan untuk memberi pelajaran atas kesombongan si aldo
2,DanielM60987345,2022-12-30 23:57:17+00:00,@yusuf_dumdum @aniesbaswedan  @NasDem  selamat atas gelarnya Bapak Identitas Indonesia.
3,Terajana313,2022-12-30 23:56:47+00:00,"@devaannaa @YakinNazara @KmZdotNet @aniesbaswedan Bangke yg kuburannya ambles aja Lo percaya, 🤣"
4,FreddyS22887525,2022-12-30 23:56:40+00:00,"Itu namanya gak tau malu!takut yg mana??🤭😁🤭
Lagi-lagi Terjadi Penolakan atas Kunjungan Anies Baswedan, Relawan Anies: Silahkan Saja Rakyat Menilai! https://t.co/DBpWdCuK1b"
5,srimuly39805789,2022-12-30 23:55:58+00:00,@Muhammad_Saewad Anies Baswedan pasangan nya sendal jepit juga saya pilih bang @Muhammad_Saewad
6,YustusHarefa,2022-12-30 23:55:46+00:00,"@choymarkochoy @aniesbaswedan @anies_kom Hahaha,…..tlg dijabarkan bro perubahan apa yg mau Anis wujudkan ke depan!!!!!!, 🤣🤣"
7,jpnncom,2022-12-30 23:55:03+00:00,Saran Fahri Hamzah untuk Anies Baswedan: Jangan Sok Merasa Sudah Jadi Capres #FahriHamzah https://t.co/7Dyj2w5zsY
8,HeruKurniantoTj,2022-12-30 23:53:34+00:00,Insyaallah Anies Baswedan leader yang otentik
9,IchwanAnto1,2022-12-30 23:53:29+00:00,@Kang_Ngibull @BerhadiahPulpen @antikafirun @aniesbaswedan Paling cuma hibah dan hibah. Tak lebih.
10,Kiamatbencana,2022-12-30 23:52:57+00:00,@QianzyZ @aniesbaswedan 1 kolom jg
11,fitrianti92,2022-12-30 23:52:47+00:00,"@aniesbaswedan 
Woi...mana lab mu?? Bacot lu"
12,PribadiBales,2022-12-30 23:50:05+00:00,"@Mayapada1108 @Siantar72 @SangPejuank @PaimoMontok @Kris_Simpati @hs_meliala @Rasto66010876 @atiroh07 @AntonKu44233833 @Metdro2 @modien_ganesa @tengkuzainalar1 @WAHYU_UNIFORM @_SEKNAS_RI @anakranto64 @AwYesaya @Budi_Dharma88 @gustafadi @Thomastjik @RiisqiRama @ermi_purba @JohnVirgoVj @MNurhuda0209 @dann84620377 @NkriUud45 @UsniErlangga @AriHend95106868 @SutayaLili @rmiryanti @harrycoocaa @Antaredja1 @Joko1widodo @hamro_s @Hardjoeno @HeriAgustiawan5 @Nr53N74H7N @CrbSira @bambang20020901 @BigDaddy234s @RonalSihotang78 @agung_milala @aniesbaswedan @GarengHallu @jokowi @MetdroS Loe drun jaman orba berani mengatakan presiden dongok, presiden pembohong dijamin drun tytydmu bida dicor pakai semen moncongmu dijejali popor senapan bahkan pantatmu ditempeli granat tangan hahahahahahaha"
13,haribanjarnahor,2022-12-30 23:49:59+00:00,"@Mdy_Asmara1701 Yohanes anies baswedan.
Benar katanya SM, asal bisa jadi presiden makan daging babipun akan dilakukan."
14,Hendri_Mantis,2022-12-30 23:49:48+00:00,@OposisiCerdas Dlm politik yg sdh sah dlm selembar kertas di detik2 terakhir bisa berubah .... nikmati saja alur cerita politik ini dan kami akan terus kawal mas @aniesbaswedan sampai pendaftaran capres di @KPU_ID nanti ....
15,renost789,2022-12-30 23:48:02+00:00,"@PolitikdanAgama @aniesbaswedan @jokowi 
 Betul kok bisa tepat Analisa &amp; pendapatmu Mas sebetulnya rakyat sudah tahu cuma ngk diexpose..
@HurenEnzo
@p1_eka 
@KaredokLeunca__ 
@inyongmanise 
@tukangrosok___"
16,fijay_firman,2022-12-30 23:47:40+00:00,"@AriefAdityyaa @awituchuz_ @NyaiiBubu @ridwankamil Diatas lagi ngomongin @ridwankamil ya? Ko tiba2 nyangkutnya ke @aniesbaswedan 
Rada rada keknya ni orang, jangan jangan setress https://t.co/abTtC7YF6Y"
17,didik_dsp,2022-12-30 23:46:37+00:00,@QianzyZ @aniesbaswedan Mereka takut suaranya tergilas habis. Walau cita-cita mengkerdilkan KPK sdh tercapai tapi ga yakin akan ada gelora paling tidak kecil ada
18,Harsarchjazz1,2022-12-30 23:46:07+00:00,@HallOfHoaks @fed4123fdf5d44a @PUTRI_41708 @aniesbaswedan Dasar putri cebong
19,PribadiBales,2022-12-30 23:46:00+00:00,@Mayapada1108 @SangPejuank @PaimoMontok @Rasto66010876 @atiroh07 @hs_meliala @AntonKu44233833 @Metdro2 @modien_ganesa @tengkuzainalar1 @WAHYU_UNIFORM @_SEKNAS_RI @anakranto64 @AwYesaya @Budi_Dharma88 @gustafadi @Thomastjik @RiisqiRama @ermi_purba @JohnVirgoVj @MNurhuda0209 @dann84620377 @NkriUud45 @UsniErlangga @AriHend95106868 @Kris_Simpati @SutayaLili @rmiryanti @harrycoocaa @Antaredja1 @Joko1widodo @hamro_s @Hardjoeno @HeriAgustiawan5 @Nr53N74H7N @CrbSira @bambang20020901 @BigDaddy234s @RonalSihotang78 @agung_milala @aniesbaswedan @Siantar72 @GarengHallu @jokowi @MetdroS Koq ada ya manusia goblok dijadikan gedibal/gundik pendatang Yaman mau ? Apa saking gak lakunya di negara sendiri ? Serius cuma nanya ?
20,_bangagoengDuA,2022-12-30 23:45:08+00:00,@ElfizaEnny salah nya @aniesbaswedan dia bukan kader @PDI_Perjuangan 😂
21,NurAini17803211,2022-12-30 23:44:51+00:00,"@DediSyah19 @hey_tif @Mdy_Asmara1701 @JhonDoe60200248 @aniesbaswedan Kami orang beradab jujur tidak suka berbohong karena agama kami mengajarkan itu, jadi tidak ada penghargaan yang dibeli seperti junjungan lo, semua karena prestasi"
22,1rf4n_3arth,2022-12-30 23:44:32+00:00,"@AdhizBuana Moncer terus Pak @aniesbaswedan , memang jalan yg lurus itu kadang ada lubang dan kerikil tapi tetap lah istiqomah, karena saat ini anda lah yg paling konsisten. Maju Terus!!!!"
23,PribadiBales,2022-12-30 23:44:02+00:00,@SangPejuank @Mayapada1108 @hs_meliala @AntonKu44233833 @Metdro2 @PaimoMontok @modien_ganesa @tengkuzainalar1 @WAHYU_UNIFORM @Rasto66010876 @_SEKNAS_RI @anakranto64 @AwYesaya @Budi_Dharma88 @gustafadi @Thomastjik @RiisqiRama @ermi_purba @JohnVirgoVj @MNurhuda0209 @dann84620377 @NkriUud45 @UsniErlangga @AriHend95106868 @Kris_Simpati @SutayaLili @rmiryanti @harrycoocaa @atiroh07 @Antaredja1 @Joko1widodo @hamro_s @Hardjoeno @HeriAgustiawan5 @Nr53N74H7N @CrbSira @bambang20020901 @BigDaddy234s @RonalSihotang78 @agung_milala @aniesbaswedan @Siantar72 @GarengHallu @jokowi Gerombolan Badut Yaman
24,siregar_najeges,2022-12-30 23:42:38+00:00,"Jika sudah musimnya hujan pasti akan turun.. Jika sudah masanya bunga-bunga pasti akan mekar ..
Begitu juga dengan doa-doa kita jika sudah sampai waktunya pasti Allah akan mengabulkannya.. Mungkin hari ini ..
Insya Allah🤲

Selamat pagi 🙏
#aniesbaswedan https://t.co/GIjOwrJQZY"
25,Bajasuper,2022-12-30 23:42:24+00:00,"@DediSyah19 @NurAini17803211 @hey_tif @Mdy_Asmara1701 @JhonDoe60200248 @aniesbaswedan abaikan
bocil itu"
26,sabar_setiabudi,2022-12-30 23:41:47+00:00,@billfaqih11 @aniesbaswedan Oh iya benar banget
27,Diraja_meta,2022-12-30 23:41:33+00:00,@PolJokesID @aniesbaswedan @bawaslu_RI Korup sudah sejak dalam pikiran
28,DanielM60987345,2022-12-30 23:41:26+00:00,@katrinrienks @FirzaHusain @aniesbaswedan  ngomong apa lagi loe jembut?
29,STUDSGUY,2022-12-30 23:40:26+00:00,"@geloraco Kl Yohanes anies baswEDAN hibah istri 63M pake duit apa yah?? 
Hahaha 🤣🤣🤣"
30,DanielM60987345,2022-12-30 23:40:03+00:00,@FirzaHusain @aniesbaswedan  woi jembut item ini bijimane? kok elo bacot doank?? mau jadi presiden? bangke loe
31,Jivan27love,2022-12-30 23:39:04+00:00,@Tita83079013 @Teong1Teong1 @MUIPusat @aniesbaswedan Prihatin akan kemunafik mereka.. https://t.co/pdNptjLl6x
32,hendry_martien,2022-12-30 23:37:46+00:00,@Godamulia @aniesbaswedan @feryfarhati Mungkin dia malu…😁😁😁
33,widarto63285827,2022-12-30 23:37:24+00:00,"@LANGKAHANIES @aniesbaswedan sebelum onta yaman, ahok dan jokowi sering kepulau seribu, membangun infrastuktur disana
orang gak pny pretasi mengklaim pekerjaan orang lain dasar gk tau malu, dasar onta budek muka tembok https://t.co/D6A4ZDhYXn"
34,ArtamuSLand,2022-12-30 23:37:06+00:00,"@DenyNurdana1 @aniesbaswedan @feryfarhati Wan jembut jd presiden??
Mimpi kaleeee...."
35,HariRianto2,2022-12-30 23:36:16+00:00,@tatakujiyati Malam tahun Baru Bapak Pendeta YOHANES @aniesbaswedan berkotbah di-Gereja mana... ⁉️ https://t.co/IKCXLeE1HG
36,STUDSGUY,2022-12-30 23:35:46+00:00,"@Tan_Mar3M https://t.co/BXYHF5hXc7
Sudah di cabut gugatan nya.. Kasihan buzzer2 Yohanes anies kurang update..
Sok2 an dukung Sambo gugat Pa Jokowi dan Kapolri.. Bloon banget yah buzzer2 Yohanes anies baswEDAN.. 🤣🤣🤣"
37,sebutsajani2na2,2022-12-30 23:35:11+00:00,"@AdeSaung @Tita83079013 @MUIPusat @aniesbaswedan Untuk Yohanes Anies sgala bentuk keharaman ga berlaku. Mo doa hio, berdiri di mimbar gereja, pake stola, dikasih nama Yohanes, semuanya keren, itu ciri2 Anies org yg toleran bukan kafir."
