,User,Date Created,Tweet
0,progorejosari,2022-12-06 23:57:49+00:00,Barangkali pak @ganjarpranowo @KemenPU @laporwalikotmgl @ppidmagelangkot @dpubmckjateng tertarik melihat kehidupan masyarakat di sini? https://t.co/wvWInQ4a1Y
1,HKarseno,2022-12-06 23:57:42+00:00,"@Loronggoronggm1 @BocahUdik4 @ganjarpranowo Gw ga peduli sama Ganjar Pranowo
Gw pedulinya sama si bulbulkibalkibul😅
Perhatian gw😅
Care bahasa sundanya ngehehehehek🤣"
2,bpt_pwd,2022-12-06 23:56:13+00:00,"Hallo #sahabatjalancantik 
Pekerjaan Normalisasi Saluran
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/CTtZje35UT"
3,catoer_ndp,2022-12-06 23:55:39+00:00,"tolong pak @ganjarpranowo jgn pakai kaos MU lagi ya, ganti saja pakai kaos @juventusfcid"
4,bpt_pwd,2022-12-06 23:55:38+00:00,"Hallo #sahabatjalancantik 
Pekerjaan Normalisasi Saluran
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/bpO053XGRL"
5,bpt_pwd,2022-12-06 23:55:08+00:00,"Hallo #sahabatjalancantik 
Pekerjaan Rutin Pemeliharaan Jalan dan Jembatan 
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/9Zcc4c3qfo"
6,bpt_pwd,2022-12-06 23:54:56+00:00,"Hallo #sahabatjalancantik 
Pekerjaan Rutin Pemeliharaan Jalan dan Jembatan 
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/UAoNyxWcw7"
7,RizkiR4madani,2022-12-06 23:54:14+00:00,RAMBUT PUTIH Pak @ganjarpranowo #relawanganjar Video👇 #RelawanGANESA Ganjar Untuk Indonesia Satu✊🇮🇩🇮🇩 https://t.co/q5Kpudre73
8,HKarseno,2022-12-06 23:52:10+00:00,"@Loronggoronggm1 @BocahUdik4 @ganjarpranowo Ngundang Barcelona dobol
Bangun lab covid19 dobol
Berhentiin reklamasi dobol
Dp0% dobol
Jadi apa yg ga dobol😁"
9,ajierakita_dewa,2022-12-06 23:50:52+00:00,"Kreatif sekali.
Link Shopee 👉 https://t.co/4kTFEJZfkd

Mentah GOAT Hakimi Kebangun Ten Hag Kepa MASIH PAGI Porsche Panenka Spain Portugal Ziyech De Gea BRImo Ronaldo Andalusia Prediksi DPR WE GANG GANG Gerindra Jasuke Rabu UMK Hujan Ganjar Pranowo #StillLife #JIHOON #NCT재민 https://t.co/6dApXMsAnd"
10,BPJPATI,2022-12-06 23:49:27+00:00,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/BqOyGFaxB6"
11,Loronggoronggm1,2022-12-06 23:47:57+00:00,@HKarseno @BocahUdik4 @ganjarpranowo Bokeper iri aje ne ama anies hihihi
12,aanlegitoro,2022-12-06 23:47:24+00:00,@tvOneNews Relawan Ganjar itu bagaimana Bukankah juga melanggar Aturan Pemilu.Sudah keliling indonesia dg Bagi-bagi Sembako bergambar Ganjar Pranowo walaupun Pak Ganjar tdk ada.
13,RizkiR4madani,2022-12-06 23:47:14+00:00,"Pemprov Jateng Raih Predikat A Reformasi Birokrasi, @ganjarpranowo Siap Kejar Target Predikat AA. 👍🏻👍🏻❤️🇮🇩 Mantaps https://t.co/Mp5NtzwcwW"
14,RizkiR4madani,2022-12-06 23:44:00+00:00,"Jadi Mentor Kreator Indonesia Berkarya, #GanjarPranowo: Orang Kreatif Selalu Survive.  Untuk Dirinye Keluarga, Dan Indonesia Pastinye. ✊❤️🇮🇩💪 https://t.co/kHiCgQt7PH"
15,HKarseno,2022-12-06 23:42:53+00:00,@Loronggoronggm1 @BocahUdik4 @ganjarpranowo Aneh2 si orang kelebihan😁
16,HKarseno,2022-12-06 23:41:24+00:00,@Loronggoronggm1 @BocahUdik4 @ganjarpranowo Sungai diselimuti🤣
17,WibowoJulia,2022-12-06 23:40:20+00:00,"Karakter Ganjar Pranowo dicintai berbagai kalangan komunitas dan generasi muda, sehingga munculnya kegiatan deklarasi ini.

#FIFAWorldCup2022
#JIHOON
Andalusia
Portugal
Busquets
Ronaldo
Thiago
Hakimi
Ziyech
De Gea
BRImo
Spain
Gavi
Bono
Leao https://t.co/ka0P4jEzhI"
18,Loronggoronggm1,2022-12-06 23:39:19+00:00,@BocahUdik4 @HKarseno @ganjarpranowo Qiqiqiqiqiqi salahnya dimana kata induk bokep 😆😆😆
19,007jokotingker,2022-12-06 23:36:22+00:00,@ganjarpranowo Mentri PANRB PDIP trus mbh ganjara kan PDIP juga wkwkkwkw.
20,Sis89370263,2022-12-06 23:31:53+00:00,"Zulhas Nekat Dukung Ganjar Pranowo, Kader Ramai Dukung Anies Baswedan, Rocky Gerung Singgung Kader Partai: Amien Rais Bakal Senang!
#AniesPresidenRI2024 https://t.co/MhhZYN1MMw"
21,alexander210881,2022-12-06 23:29:20+00:00,@J0kerWedok @bams_1eng @ganjarpranowo @erickthohir anies-musni umar
22,alexander210881,2022-12-06 23:27:46+00:00,@bams_1eng @ganjarpranowo @erickthohir pa kabar airlangga hatarto?
23,cari_cahya,2022-12-06 23:27:22+00:00,"@ganjarpranowo Oh, ngono tho?"
24,RizkiR4madani,2022-12-06 23:25:38+00:00,Merah Darahku.. PUTIH RAMBUT KU.. #ganjar_pranowo 2024 Presiden Ku.. InsyaAllah Aamiin YRA🤲 🙏✊❤️🇮🇩💪 Mantaps https://t.co/8vuVIYJM3w
25,zidan_ririn,2022-12-06 23:20:00+00:00,"Ganjar apresiasi Nasionalisme PP AL Irsyad
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/GlZK0qVXvx"
26,mami_mila8,2022-12-06 23:20:00+00:00,"Ganjar apresiasi Nasionalisme PP AL Irsyad
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/XoczKYg6n0"
27,jo_anezt,2022-12-06 23:17:22+00:00,"Menteri BUMN @erickthohir belakangan dijodohkan dengan beberapa bakal calon presiden, termasuk dengan Gubernur Jawa Tengah Ganjar Pranowo. Erick Thohir mengatakan dirinya bukanlah orang partai dan masih fokus mengurus BUMN.
#BangkitBersamaET https://t.co/rHZcGH27Oc"
28,SG_TarjunKaLSeL,2022-12-06 23:17:04+00:00,"Merah Darah ku, Putih Rambutku. Ganjar Pranowo nama ku 🥰 https://t.co/jxWr1ZDckd"
29,RizkiR4madani,2022-12-06 23:15:59+00:00,"Negeri Tetangga, Thailand, sangat sukses dngn WISATA RELIGINYA Bagaimana dngn Indonesia yg sebenarnya sudah sangat ramai Gubernur Jawa Tengah @ganjarpranowo menyentilnya dlm temu wartawan mingguan di kemenparekraf, Senin (5/12/2022).👍🏻❤️🇮🇩👇 https://t.co/petYvK7A8x"
30,Loronggoronggm1,2022-12-06 23:15:48+00:00,@BocahUdik4 @HKarseno @ganjarpranowo Para bokepers bang 😆
31,zidan_ririn,2022-12-06 23:15:00+00:00,"Ratusan Ulama di Jambi Dukung Ganjar
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/Xodr0WPAhO"
32,mami_mila8,2022-12-06 23:15:00+00:00,"Ratusan Ulama di Jambi Dukung Ganjar
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/v2T4ncRBcs"
33,DraculaMelow,2022-12-06 23:00:06+00:00,"@Ria26720599 @ganjarpranowo Ganjar Pranowo 2024 RI 1
#GaassPooolll
#GPforRI1"
34,zidan_ririn,2022-12-06 23:00:02+00:00,"Ganjar Minta Pejabat Cilacap buka komplain lewat medsos
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/pWjRAkM5Rw"
35,mami_mila8,2022-12-06 23:00:00+00:00,"Ganjar Minta Pejabat Cilacap buka komplain lewat medsos
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/8SXASAKo9r"
36,rk_ponorogo,2022-12-06 22:43:03+00:00,Kita semua bersaudara🇮🇩🇮🇩 #kemanusiaan #ganjarpranowo #sahabatganas #muslim #rahmatanlilalamin https://t.co/DNgCka71j9
37,akakaka91413121,2022-12-06 22:41:54+00:00,@ganjarpranowo Iya setelah melihat obrolan ini banyak pelajaran dan kita jadi tau betapa sangat berartinya perkembangan pengetahuan dalam hal kebudayaan
38,akakaka91413121,2022-12-06 22:39:59+00:00,@ganjarpranowo Keren banget ke lima kali nya penghargaan ini jelas bukti nyata kerja keras pak Ganjar dalam pengabdian selama kepemimpinan di Jateng makasih pak
39,akakaka91413121,2022-12-06 22:39:07+00:00,@ganjarpranowo Dalam perjuangan emang dibutuhkan stock sabar yg tak terhingga agar semua tercapai dan berjalan lancar makasih juga pak jadi ikutan belajar arti sabar yg sesungguhnya
40,LifeGreal,2022-12-06 22:27:37+00:00,"@ganjarpranowo Wong dia sendiri yg omong  suka nonton film porno, kok saya dibilang memfitnah"
41,SriPruspirit,2022-12-06 22:24:43+00:00,"@ganjarpranowo 
Selamat Pak Ganjar, wakil Jawa Tengah sukses melaju ke perempat final World Cup di Qatar. Port-TEGAL  5  : Swiss 1.
Semoga sukses juga mengatasi wakil Irian   Meraoko di perempat final 😀🙏"
42,solidaritas66,2022-12-06 22:24:05+00:00,"Atas personality dan kinerja yang sangat baik dan cemerlang,  semua kalangan menerima dan mendukung Ganjar Pranowo Presiden di 2024, termasuk Slankers https://t.co/0W9QlV0SxR"
43,riyutoooo,2022-12-06 22:19:14+00:00,@Uki23 pendukung @ganjarpranowo nih😂😂😂😅😅😅🤣🤣🤣
44,suburstn,2022-12-06 22:17:45+00:00,"@AntiPerjuangan @ganjarpranowo Maksudmu Ganjar yg makan duitnya ?
Benci boleh tapi tolol jangan"
45,IrSuwaji3,2022-12-06 22:17:28+00:00,@mdyn1234567 @M45Broo Saya Yakin ini paling Postingan Orang kelompok Kaum Radikal pendukung Wan Ngibul / Anus Bas Edan ini untuk Menjatuhkan Nama baik Pak Ganjar Pranowo karena Mereka setiap hari Dapat Nasi Bungkus 3X sehari dari Wan Ngibul / Anus Bas Edan ini
46,MuhAnwar265,2022-12-06 22:06:39+00:00,@sobat_anies @Official_PAN @DPP_PPP @ganjarpranowo @aniesbaswedan Betul juga yaa yang memilih akar rumput beserta simpatisannya😀😀👍👍
47,gracesimon54531,2022-12-06 21:57:43+00:00,@ganjarpranowo Maju teruus Pak...salam kenal..
48,ndho_bol,2022-12-06 21:16:07+00:00,"@ganjarpranowo Ini jg #pencitraan polll mulai dr 4thn lalu ,  apalagi wan Abud @aniesbaswedan  🤣🤣  
Rusak.... Ini negara"
49,3April19841,2022-12-06 21:08:29+00:00,@ganjarpranowo mohon 🙏🙏🙏🙏 ini yg jadi pak uus di komedi dono kasino indro...ya..allah masih sehat..sht slalu pak uus
