,User,Date Created,Tweet
0,IkhlasAbdulkad2,2022-12-20 23:59:44+00:00,@YoutubeILC @prabowo @ganjarpranowo @aniesbaswedan @airlangga_hrt Apalagi nanti di 2024
1,deans3344,2022-12-20 23:59:28+00:00,"@sisimangarajasa @AziLLampunG @YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Ini hasil survey drun..., bukan hasil poling.. https://t.co/hDw6VqRrIR"
2,AgungHa05086506,2022-12-20 23:59:21+00:00,@YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Kenapa g 100% nanggung
3,Joni88145999,2022-12-20 23:59:10+00:00,@Mdy_Asmara1701 Anis ini dulu tampa prabowo nggk ada apa apanya karna dia nggk punya tiket maju di pilgup sekarng jadi orng yg tikung
4,BiroLegalitas,2022-12-20 23:58:57+00:00,"Tuhan akan selalu memberikan yang terbaik kepada mereka yang menyerahkan pilihan itu kepadaNya. Makanya, kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/QM49UH5IHY"
5,alsangkily,2022-12-20 23:57:41+00:00,"@YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo TV one emang beda, survei lembaga lain pd kalah, disini menang sendiri, artinya apa, tebak sendiri dah🤣🤣🤣"
6,soelisse,2022-12-20 23:56:51+00:00,"@hervanka @adhidaud @Doedoeng108 @inilahdotcom @aniesbaswedan @ganjarpranowo @erickthohir Yg di atas itu baca, kan relawan. Relawan anies sejak prabowo partainya ikut pemerintahan jokowi sudah harap anies jadi presiden. Yg bawah tu kan jateng, apa salahnya bagi sembako dan Kaos untuk rakyatnya sendiri?"
7,deans3344,2022-12-20 23:56:19+00:00,"@sisimangarajasa @AziLLampunG @YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Hasil poling dibanggain, dasar kadrun... Tuh lihat hasil survey drun jgn poling, biar wawasan antum terbuka"
8,PutraAk99427661,2022-12-20 23:55:46+00:00,"@Pencerah___ @YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo @karniilyas Kardus digembok besi😂😂😂

Harus budu agar mengerti..."
9,hoax_bukan,2022-12-20 23:53:54+00:00,"@Martha_ElKutuby @EnemyofBuzzer @YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Eh betina,tutup kepalamu cuma menutup kemaluanmu yg busuk.
ILC itu media yg diikuti oleh pembenci Pemerintah yg condong ke anies.klo jejak pendapatnya yg lakukan ILC yg selama ini pembenci pemerintah &amp; jadi buzzer anies ya hasilnya sdh bisa ditebak &amp; ini ngak heran.
Kadruniwati"
10,thendless_D,2022-12-20 23:52:57+00:00,@NathArtistOwO @jokowi @prabowo BELLA UDAH WOEE ASTAGFIRULLAH 😭😭🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
11,Wongkuno2B,2022-12-20 23:51:27+00:00,"@YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo ADA YANG PANIK NIH MAS BRO.....
TIPU DAYA MENTAL LEWAT POLLING ABAL2 , SEBAGAI DASAR KEMENANGAN....KALI INI KETERBUKAAN NATURAL SUDAH JADI PILIHAN RAKYAT ....
300 T SIAP BETERBANGAN KEMANA-MANA KE YANG KELAPARAN, 300 T BUAT TIDAK LAKU BAGI AKHLAK BAIK, PENGKHIANAT SAJA YG TRIMA"
12,aspriazza,2022-12-20 23:51:26+00:00,"@Pencerah___ @YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo @karniilyas Bagus lah bang @Pencerah___ jagoan kita belum kampanye saja polingnya udah bagus apalagi kalau udah kampanye, dengan totalitasnya, bakalan telak tuh..."
13,orgpinggir,2022-12-20 23:50:02+00:00,"@YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Saya sarankan segera ILC melakukan pelantikan, sebelum hasil polling berubah"
14,orgpinggir,2022-12-20 23:49:08+00:00,"@iqbal_dull @YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Segera lantik saja, sebelum hasil berubah"
15,dwi_dwi00,2022-12-20 23:49:01+00:00,"@prabowo Selamat Atas pelantikan Pk Laksamana Yudho Margono, Semoga Amanah, menjaga NKRI sampai titik darah terakhir"
16,irhamtaufik88,2022-12-20 23:48:59+00:00,"@YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Kalau ini yg buat Survei SAYA yakin tapi kalau yg lain, gimana ya????"
17,kikidwianugrah1,2022-12-20 23:48:38+00:00,"@rois_seo @YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Yaudah sono bikin polling sendiri, coba ku lihat hasilnya 🤣🤣🤣🤣 panik nih yeee"
18,pinterpolitik,2022-12-20 23:48:19+00:00,"Prabowo Subianto beberapa waktu lalu membuat sebuah utas di Twitter mengenai kisah dua shogun Jepang bernama Hideyoshi Toyotomi dan Ieyasu Tokugawa.

https://t.co/eC5DcEbZDA"
19,orgpinggir,2022-12-20 23:47:48+00:00,@WijayaYasmin1 @YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Kapan dilantik ya...ma ILC
20,IrfanMu11082997,2022-12-20 23:47:48+00:00,"SALAM INDONESIA RAYA,SALAM SEJAHTERA, GERINDRA MENANG PRABOWO PRESIDEN.💪💪

#prabowo #prabowopresiden #indonesiamenang #gerindra #dpcgerindramakassar #prabowo2024 #prabowosubianto #sangpatriot #prabowomenang #dekade08 #kosongdelapan https://t.co/DB9SIJ0646"
21,eminem0180,2022-12-20 23:47:44+00:00,@EnemyofBuzzer @YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Tenaang.. nanti pas quick count pilihan lu menang kok😅
22,Chandra_a2,2022-12-20 23:46:29+00:00,"@YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Saya pernah liat poling begini, Begitu Anis kalah jauh, eh malah buru2 dihapus. Trus langsung preskon kalo yg pilih pake akun bot. 🤣🤣🤣🤣 tiap hari bilangnya gak percaya survei2 an, tapi kalo survei nya anis menang rame2 posting hasil survei. KADRUN emang gampang diBEGOIN, 🤣🤣"
