,User,Date Created,Tweet
0,ronavioleta,2022-12-06 23:56:37+00:00,"18 org dari 575 anggota DPR, dinyatakan sudah mencapai kuorum? Apakah ini ilmu baru ? @DPR_RI @puanmaharani_ri @Don_dasco @cakimiNOW @AzizSyamsuddin"
1,PUANnews,2022-12-06 23:55:48+00:00,"#Menakar Peluang Duet Andika Perkasa - Puan Maharani di Pilpres 2024 - SINDOnews Nasional 
#PuanMaharani

https://t.co/xTDclzeqZg"
2,SINDOnews,2022-12-06 23:46:31+00:00,"Menakar Peluang Duet Andika Perkasa - Puan Maharani di Pilpres 2024

 #Sindonews #BukanBeritaBiasa .https://t.co/f4JQms0BM2"
3,Hendrikorachman,2022-12-06 23:39:43+00:00,"Siapa yg setujui KUHP baru bu @puanmaharani_ri sbg ketua @DPR_RI . Krn RKUHP direncanakan sejak tahun 1963 oleh para pakar hukum +62. Seharusnya sdh tdk ada debat lagi, andaikan ada sdh kepentingan kelompok bkn buat rakyat
Cc @mohmahfudmd @MardaniAliSera @Fahrihamzah @jansen_jsp"
4,HYassin_88,2022-12-06 23:37:05+00:00,@Jul3aRhma3 @puanmaharani_ri kadrunisasi...(dadakan)🤭
5,PUANnews,2022-12-06 23:27:02+00:00,Menakar Peluang Duet Andika Perkasa - @PuanMaharani_RI [#PuanMaharani]Maharani di Pilpres 2024 - SINDOnews Nasional https://t.co/pF20dU19Nf
6,ibnupurna,2022-12-06 23:26:17+00:00,"Koq belum mendengat respon dari ketua @DPR_RI @puanmaharani_ri adanya isu pulau Widi mau dijual ke asing. Atau mungkin saya terlewat membacanya. Simak berita dua menteri izinkan pulau Widi dijual 
➡️ https://t.co/RXULHGU3p9"
7,Ikademan_Yong,2022-12-06 23:17:10+00:00,@MangKonod @MichelAdam5_ @budimandjatmiko @puanmaharani_ri @mohmahfudmd Mereka ini gak paham atau gak berani? Saya menduga bahwa mrk gak berani....
8,kiahaly,2022-12-06 23:15:50+00:00,"@ismailfahmi Bravo @jokowi 
bravo @DPR_RI 
bravo @puanmaharani_ri 
Bravo @Kemenkumham_RI 
Kalian mahkluk sempurna yg tidak layak untuk dikritik. Terimakasih sudah membuat aturan ini."
9,detikcom,2022-12-06 22:54:41+00:00,Ketua DPR RI Puan Maharani mengajak kaum muda untuk menerapkan prinsip Trisakti Bung Karno. https://t.co/zmDUMfBWlK
10,HYassin_88,2022-12-06 22:49:08+00:00,"@Jul3aRhma3 @puanmaharani_ri Awas dilempar, tangannya dah megang batu.😂😂"
11,Jul3aRhma3,2022-12-06 22:45:59+00:00,@LovelyBabyBee_ @puanmaharani_ri Ini dia ... mungkin teamnya ga biasa pake kerudung jg😆
12,Jul3aRhma3,2022-12-06 22:44:41+00:00,@NongNayara @puanmaharani_ri Heran sma team tata riasnya 😆
13,Hendrikorachman,2022-12-06 22:26:10+00:00,"Itikat baik sebagian @DPR_RI tentang hukum di +62 tdk ada,krn terkesan mereka pelaku pelanggar hukum hakiki.Terimakasih pk @jokowi , pk @mohmahfudmd bisa lobi DPR
Cc @puanmaharani_ri @msaid_didu @jansen_jsp @Fahrihamzah @andre_rosiade @tifsembiring @RamliRizal @cakimiNOW @KPU_ID"
14,Crypto34209511,2022-12-06 22:25:47+00:00,"@DPR_RI Pak, tidak semua perempuan yang keluar malam perempuan tidak baik. Contohnya Puan Maharani. 
Bidan dan dokter maksud saya kadang terpaksa pulang malam atau pergi malam karena tugasnya, harusnya lebih jelas jangan ambigu KUHP nya"
15,Hendrikorachman,2022-12-06 22:22:50+00:00,"Berapa byk manusia indonesia mengeluh akan hukum kita, apalagi sejak pk @jokowi jadi presiden byk kali congor bilang beliau diktator. Ini KUHP salah satu solusi selain RKUHAP perlu juga dibuat
Cc @msaid_didu @Fahrihamzah @puanmaharani_ri @DPR_RI @cakimiNOW @ZUL_Hasan @jansen_jsp"
16,Hendrikorachman,2022-12-06 22:15:40+00:00,"Siapa yg mau belajar membuka KUHP baru, dimana karakteristik baru harus dimulai dari nol mirip iklan pertamina. Artinya belajar lagi celah apa yg bisa diambil utk dipermainkan
Cc @jokowi @mohmahfudmd @DPR_RI @jansen_jsp @MardaniAliSera @puanmaharani_ri @Fahrihamzah @msaid_didu https://t.co/iUtk8MMj4e"
17,Hendrikorachman,2022-12-06 22:12:02+00:00,"KUHP lama karakteristik kolonial,terkesan @DPR_RI ijin tdk hadir perlu dipertanyakan taat hukumnya.KUHP baru tampa disadari oknum polisi,oknum jaksa, oknum pengacara sangat merugikan mereka
Cc @jokowi @mohmahfudmd @puanmaharani_ri @cakimiNOW @jansen_jsp @ZUL_Hasan @Fahrihamzah"
18,cahaya08nkri78,2022-12-06 21:25:34+00:00,@jokowi @kemenkomarves @puanmaharani_ri @LaNyallaMM1 ada ada aj si luhut
19,nirwan_anestesi,2022-12-06 20:55:30+00:00,"IDI Bukan Superbody... 
Yth Pak @BudiGSadikin Bu @puanmaharani_ri Cak imin @cakimiNOW Pak @bambangsoesatyo Pak @jokowi @PBIDI https://t.co/9i47LEQx5I"
20,claudiahierari,2022-12-06 19:44:37+00:00,"@rajatikam_ @jokowi @ganjarpranowo @gibran_tweet @prabowo @ListyoSigitP @puanmaharani_ri @AgusYudhoyono @Hary_Tanoe @mohmahfudmd @Giring_Ganesha @cakimiNOW IJateng : Kabupaten/Kota terbanyak kader Rajatikam 5 besar ( per 2022 usia Mak 24 tahun )

1. Purworejo : 1445
2. Magelang : 1275
3. Surakarta : 783
4. Semarang : 750
5. Salatiga : 582 

* Urutan Seluruh Indonesia.Provinsi Bali, NTT, Papua, Kalteng, Aceh.

Riil Sumpah Demi Tuhan"
