,User,Date Created,Tweet
0,Motekar72,2022-12-30 23:56:19+00:00,"@dodzilla76 @ZUL_Hasan @ridwankamil FO samsat rencananya 2023 atau 2024 konstruksi, malah beberapa bulan yg lalu sempat ada soil test di sekitar simpang buah batu"
1,jabaronline1,2022-12-30 23:52:35+00:00,"Resmikan Masjid Raya Al Jabbar, Ridwan Kamil : Cikal Bakal Perkembangan Peradaban Islam di Jawa Barat https://t.co/jX1NB7vruX"
2,aslamnatsir,2022-12-30 23:51:41+00:00,@disperkimjabar @ridwankamil Mahakarya luar biasa dari imajinasi seorang @ridwankamil makin terwujud dalam bentuk sempurna sebuah bangunan Masjid yg diberi nama Al Jabbar.Insya Allah akan menjadi salah satu Icon terbaik Jawa Barat yang akan mendunia  #AlJabbarKebanggaanJabar #MasjidRayaAlJabbar
3,fijay_firman,2022-12-30 23:49:17+00:00,"@awituchuz_ @Dediy_orlando @NyaiiBubu @ridwankamil Lu ngetik paan si? Geje gini pendukungnya @ganjarpranowo 
Kek ketikan orang kaga sekola tau ga? Disekolahin ngga sih lu sama kaka pembina?"
4,fijay_firman,2022-12-30 23:47:40+00:00,"@AriefAdityyaa @awituchuz_ @NyaiiBubu @ridwankamil Diatas lagi ngomongin @ridwankamil ya? Ko tiba2 nyangkutnya ke @aniesbaswedan 
Rada rada keknya ni orang, jangan jangan setress https://t.co/abTtC7YF6Y"
5,Dediy_orlando,2022-12-30 23:45:59+00:00,"@ridwankamil Alhamdulillah kemaren bisa jumatan yang pertama kali di Masjid Al-Jabbar dan penuh sesak oleh jamaah 
Nuhun ah pak @ridwankamil katampi pisan"
6,fijay_firman,2022-12-30 23:45:30+00:00,"@awituchuz_ @NyaiiBubu @ridwankamil Belum ada sebulan udah 480 Tweet, gua anggep sebulan, berarti 15 tweet per hari, satu akun, lu pegang berapa akun bang? 
Ternyata berat yah jadi buzzer? bisa2 makan aja telat mulu, ee pipis ditahan, sekalinya ketemu sama kaka pembina duduknya paling pojok, ngenes idup lu 🤣🤣🤣🤣"
7,Dediy_orlando,2022-12-30 23:45:06+00:00,@disperkimjabar @ridwankamil Keren mantap
8,Rastati10,2022-12-30 23:41:17+00:00,"@ridwankamil Sy pak Gurbenur , Tp Tolong Carikan Calonnya Dulu.🙏"
9,disperkimjabar,2022-12-30 23:38:03+00:00,"IKON KEBANGGAAN JABAR BERTAMBAH✨😍

Alhamdulillah... akhirnya Masjid Raya Al-Jabbar Provinsi Jawa Barat telah diresmikan secara langsung oleh Gubernur Jawa Barat, Ridwan Kamil pada Jumat, 30 Desember 2022.
@ridwankamil 
 
#AlJabbarKebanggaanJabar https://t.co/sJ5VU3X937"
10,OrangAs42338663,2022-12-30 23:36:32+00:00,"@ridwankamil Masya Allah ,sehat2 pak gub, semoga keluarga selalu dalam lindungan Allah SWT ,Aamiin"
11,Dediy_orlando,2022-12-30 23:34:03+00:00,@hamada_brenda @awituchuz_ @NyaiiBubu @ridwankamil Buzzer bgst kaya mereka mana ada info kerjaannya cuman nebar kebencian doang sama hoax plus jualan radikal radikul ga ada bedanya sama kubu sebelah yang jualan agama
12,pikiran_rakyat,2022-12-30 23:33:35+00:00,POPULER HARI INI: Masjid Al Jabbar dan Air Mata Ibunda Ridwan Kamil hingga 5 Tempat Tahun Baruan di Bandung https://t.co/fOSmGJ4ObN
13,BarryMurina,2022-12-30 23:27:50+00:00,@awituchuz_ @NyaiiBubu @ridwankamil Yg munafik itu kayaknya ente bro tahu ga kasusnya @ganjarpranowo yang pake duit baznas buat kader pdip?sedangkan @ridwankamil memperbaiki rumah warga tidak layak huni tidak pakai embel-embel partai .Dan RK ga pernah terafiliasi sama kubu cebong-kadrun kaya ente alhamdulillah nya
14,akuy_reborn,2022-12-30 23:26:07+00:00,@abu_waras @ridwankamil @ElshintaBandung Ulah diantep atulah
