,User,Date Created,Tweet
0,rudibarrbie,2023-02-27 23:59:59+00:00,"PDemokrat meminta Pemda punya perhatian besar &amp; komitmennya dalam menyelesaikan persoalan stunting.
n`_

#AHY
AgusYudhoyono
PDemokrat
https://t.co/pcYcoGHFSX"
1,rudibarrbie,2023-02-27 23:59:57+00:00,"Fraksi PDemokrat Sjarifuddin Hasan, meminta pemerintah lakukan pendekatan diplomatik &amp; pendampingan hukum..
rzo

#AHY
AgusYudhoyono
PDemokrat
https://t.co/sZicLXxSfw"
2,rudibarrbie,2023-02-27 23:59:55+00:00,"DPR Fraksi PDemokrat, Achmad, tegas menolak rencana kenaikan biaya haji.
nza

#AHY
AgusYudhoyono
PDemokrat
https://t.co/Zs28EeSuyT"
3,rudibarrbie,2023-02-27 23:59:52+00:00,"PDemokrat: Pemerintah sebaiknya segera perbaiki komitmen berantas korupsi..
h]i

#AHY
AgusYudhoyono
PDemokrat
https://t.co/e2N2JERGV0"
4,rudibarrbie,2023-02-27 23:59:50+00:00,"Fraksi PDemokrat, Dede Yusuf, berikan kuliah umum bertema ""Mencetak Mahasiswa Unggul Indonesia"", di kampus STT Bandung..
^fr

#AHY
AgusYudhoyono
PDemokrat
https://t.co/gYCuC2rOzi"
5,rudibarrbie,2023-02-27 23:59:45+00:00,"Fraksi PDemokrat mendesak pemerintah utk melakukan pengawasan kestra terkait TPPO..
doc

#AHY
AgusYudhoyono
PDemokrat
https://t.co/tjBFDGlkhs"
6,rudibarrbie,2023-02-27 23:59:43+00:00,"PDemokrat: Kesejahteraan petani merupakan cita-cita bersama mewujudkan ketahanan pangan nasional..
l]]

#AHY
AgusYudhoyono
PDemokrat
https://t.co/j9KANY4GxU"
7,rudibarrbie,2023-02-27 23:59:34+00:00,"PDemokrat: Insya Allah silaturahmi ini membuat kami makin solid..
rs]

#AHY
AgusYudhoyono
PDemokrat
https://t.co/Kl0t8e5NiV"
8,rudibarrbie,2023-02-27 23:59:32+00:00,"PDemokrat berharap seluruh instansi terkait fokus utk pengentasan kemiskinan..
r\t

#AHY
AgusYudhoyono
PDemokrat
https://t.co/7S0CgKw5kB"
9,rudibarrbie,2023-02-27 23:59:31+00:00,"Hadir Dengan Sarung dan Peci di Harlah Seabad NU, AHY Dipuji Pengamat: Makin Berakar Berkat Rajin Silaturahmi.
fdg

#AHY
AgusYudhoyono
PDemokrat
https://t.co/U2rEZEQhJ1"
