,User,Date Created,Tweet
0,kadrundungu12,2023-02-06 23:59:51+00:00,"@Johnytruee @Surpage1990 @_Rizmaya__ @budimandjatmiko @aniesbaswedan @jokowi Utang ko mau ihlas??🤣🤣
Utang dibyar njing🤣🤣
Dosa tau 😁 https://t.co/zUKmxpDpQ8"
1,r_zecky,2023-02-06 23:59:32+00:00,@ch_chotimah2 @aniesbaswedan Pendukung Anis mau urunan katanya buat bayar 50 milyar
2,Hiburanajaaya81,2023-02-06 23:59:13+00:00,@ebe_ganzo @JoeA8219 @kangdede78 @aniesbaswedan @sandiuno Apa artinya JK mulai mundur om ?
3,AsatArifin5,2023-02-06 23:58:49+00:00,@ekowboy2 Buzzer @aniesbaswedan Lagi Kejar Setoran
4,bowoaj08,2023-02-06 23:58:41+00:00,"@soeyoto1 Mending pak @aniesbaswedan sruh live sambil video call an sama pak @sandiuno
aj tanya lsngsung maksutnya apa :)"
5,GiaNur4,2023-02-06 23:58:41+00:00,@anto_cahaya @gibran_tweet @aniesbaswedan Pamer trsss ngurus DKI gak mampu aseoekekkek
6,TiaDaniel14,2023-02-06 23:58:38+00:00,"@abu_waras Jadi gini, masalah @aniesbaswedan  nggak becus kerja itu kayak kunyuk disuruh nulis, diminta tunjukan bukti kerjanya, tapi kagak ada.

Dan juga kayak kasus pohon Mahoni yang dulunya ada di Monas tiba2 ditebang alasannya untuk disehatkan.

Iya engga sih peyang? https://t.co/2CweTcqZ5R"
7,en_jeu_L,2023-02-06 23:58:22+00:00,"Innalillahi, sampai sampah pun di eksploitasi demi eksistensi politik busuk si raja utang anies Baswedan. 

Ini lah fakta betapa segala cara pencitraan dilakukan demi sebuah kursi kekuasaan.
Apakah manusia begini layak jadi pemimpin  kita???

Yuk kita berpikir waras✊✊🇲🇨🇲🇨 https://t.co/3BrTA7bIad"
8,cahaya08nkri78,2023-02-06 23:58:00+00:00,"@aniesbaswedan @andre_rosiade @tempodotco @Dennysiregar7 @kompascom @cokro_tv @psi_id @temponewsroom @fadlizon 

JANGAN GORENG LAGI
KARENA GORENGAN MU SUDAH BASI 😎😅😄😂😆😀😁😃"
9,firman__nurhuda,2023-02-06 23:58:00+00:00,@sapasiap @aniesbaswedan Kog bisa anda menyimpulkan saya kadrun..? 🤭
10,JosephTendean,2023-02-06 23:57:54+00:00,@pe_opewe @kangdede78 @aniesbaswedan @sandiuno Jangan dikasih pertanyan kayak gitulah ….nanti makin kebongkar 😀😀
11,HyEvan1,2023-02-06 23:57:37+00:00,"@aniesbaswedan Ternyata si Yohannies @aniesbaswedan juga berbakat sebagai seorang PLAGIAT

#BapakPolitikIdentitas ini emang udah gak tau malu... https://t.co/yBmZ9Wzl9p"
12,karimocha1,2023-02-06 23:57:31+00:00,@LiefPata @aniesbaswedan rekam jejak sang dp gimana ?
13,hyposimpathetic,2023-02-06 23:57:14+00:00,@LanangJagad31 @_Rizmaya__ @budimandjatmiko @aniesbaswedan padang pantek ang
14,TeduhDan,2023-02-06 23:57:08+00:00,"@kangdede78 @aniesbaswedan Yg bikin mobil esmk ,ekonomi meroket saja di percaya dasar cebong"
15,8_FERRY_8,2023-02-06 23:57:05+00:00,@aniesbaswedan nih baca...
