,User,Date Created,Tweet
0,MicelSatria,2023-02-20 23:58:44+00:00,@brother_djon @s_ghiffary @ganjarpranowo Udh saya follow @brother_djon
1,Dpram_Balik,2023-02-20 23:54:14+00:00,@AbanggSayur @ganjarpranowo Pri...hatin..!
2,BPJPATI,2023-02-20 23:54:12+00:00,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/0hmfVfQhDy"
3,AbiFathir5,2023-02-20 23:53:45+00:00,@NenkMonica @ganjarpranowo Pak Ganjar ini nampak gak ngerti tentang salam. Mesti ngaji lagi nih pak. Gak mutu banget. Orang begini yg mau nyapres ??
4,AANBOJA,2023-02-20 23:53:23+00:00,@dpubmckjateng @ganjarpranowo @provjateng @LaporGub_ Info min Cangkiran-Boja
5,ManoharaSekar,2023-02-20 23:53:21+00:00,"Program Ganjar dalam menangani stunting linier dengan upaya menekan stunting, dan bisa dicontoh daerah lain.
Hasto Wardoyo, Bu kepala BKKBN RI mengapresiasi keseriusan Gub. Jateng @ganjarpranowo menangani stunting.
#GANTARI https://t.co/PvW5W2UENb"
6,ManoharaSekar,2023-02-20 23:52:16+00:00,"Tak perlu membutuhkan waktu lama. Cukup 4 tahun saja Ganjar mampu menurunkan stunting mencapai 51%.   Sudah setengah jalan angka stunting di Jawa Tengah berangsur-angsur menyusut. Semoga kedepannya stunting di Jawa Tengah bisa segera lenyap.
@ganjarpranowo 
#GANTARI https://t.co/QsfOVZ21Pu"
7,fs_andika,2023-02-20 23:52:04+00:00,"Bismillah.
Jika terasa berat sebaiknya majukan @prabowo @erickthohir mnjdi pasangan &amp; @ganjarpranowo @cakimiNOW  masuk jadi timses, kelak jdikan mentri. Sy mendorong mega segera mencalonkan mrka utk puan bisa kementri dulu
@PDI_Perjuangan
@jokowi
@PartaiGolkar 
@psi_id 
@DPP_PKB"
8,utomotunggal,2023-02-20 23:51:31+00:00,@siregar_najeges @jokowi @prabowo @aniesbaswedan @ganjarpranowo @sandiuno @puanmaharani_ri Al Fatihah....
9,ApulPSitompul,2023-02-20 23:51:19+00:00,@ch_chotimah2 @ganjarpranowo Itu² mulu photonya ngul? 🤪🤪🤪
10,ApulPSitompul,2023-02-20 23:49:52+00:00,@Singgih_permdi @ch_chotimah2 @ganjarpranowo Berak dari mulut jgn pernah lg ya 🤪🤪🤪 bicaralah apa yg sdng berjalan biar gak tolol 👍👍👍 ok
11,LagiBeTeAjj,2023-02-20 23:47:45+00:00,"@ch_chotimah2 @ganjarpranowo Coba kalo ada yang mendanai, pasti dikelilingin jg wkwkwk masalahnya yg mo using siapa, yg mo biayai siapa ?"
12,ManoharaSekar,2023-02-20 23:47:36+00:00,"Program Jateng Gayeng Nginceng Wong Meteng membantu menurunkan stunting di Jawa Tengah.   Kali ini penyusutan angka stunting di wilayah kepemimpinan Ganjar Pranowo mampu turun drastis hingga 51%.
@ganjarpranowo 
#GANTARI https://t.co/hEAPYzhMT0"
13,qiunco2761,2023-02-20 23:47:20+00:00,"Tiap Muresbang di Jateng 
Yg jadi Prioritas 
@ganjarpranowo 
Adalah 
Perempuan dan anak serta
Disabilitas 
Upaya nyata 
Ganjar cegah Stunting https://t.co/YXB56SYEKM"
14,satpolpp_jateng,2023-02-20 23:38:15+00:00,"(21/2) @satpolpp_jateng melaksanakan Pengamanan Kegiatan PENGAMBILAN SUMPAH JABATAN OLEH GUBERNUR JAWA TENGAH, Pengangkatan Anggota KOMISI INFORMASI JAWA TENGAH Masa Jabatan 2022-2026.
@ganjarpranowo @TajYasinMZ @kemendagri @kominfo_jtg @ditpolpp_linmas @bpsdmdjtg @bkdprovjateng https://t.co/VBN1oR1rza"
15,__RismaWidiono_,2023-02-20 23:38:02+00:00,"Dalam 4 Tahun Terakhir, Gubernur Jateng @ganjarpranowo Turunkan Angka Stunting di Jateng hingga 51 Persen

https://t.co/nBEaXBteqO"
16,__RismaWidiono_,2023-02-20 23:37:45+00:00,"Dipimpin Gubernur @ganjarpranowo, Pemprov Jateng berhasil menurunkan angka stunting secara drastis dlm empat tahun terakhir. Angkanya berkurang hingga 51 persen.

Pencapaian tsb tak luput dari program Jateng Gayeng Nginceng Wong Meteng atau 5NG yg diluncurkan oleh Ganjar Pranowo https://t.co/UQIEyxrpID"
17,Block13_Madura,2023-02-20 23:36:34+00:00,"@WagimanDeep212_ @ganjarpranowo Gubernur jateng memang berusaha untuk kepentingan masyarakat. kalau saat ini dibilang belum maksimal memang tidak di nafikan,intinya seorang pemimpin itu harus bekerja atau mengabdi untuk kepentingan seluruh rakyat.
Bukan menata kata dgn bumbu² manis seperti junjungan kadrun."
18,esipra1,2023-02-20 23:34:08+00:00,"@K4m807ab0da5 @AirinDatangLagi @ganjarpranowo Gak ada yg ngomong Meriang?knp jadi meriang
Bangun2 bro

Susah kl otak Dungu mah, nyerna tweet sederhana aja gak bisa

Coba buktiin donk point no.1 dan 2 kita liat pnya narasi gak?plg sama aja ama akun2 yg laen"
19,Jateng_Twit,2023-02-20 23:30:45+00:00,"Pada peresmian itu, Gubernur Jateng Ganjar Pranowo didampingi Bupati Sragen Kusdinar Untung Yuni Sukowati. Selain itu, hadir pula kepala daerah dan perwakilan dari kabupaten setempat, antara lain Bupati Demak Eisti’anah, dan Bupati Semarang Ngesti Nugraha."
20,bangudi12532806,2023-02-20 23:30:08+00:00,"@democrazymedia Gubernur Jateng @bawaslu_RI tu sibuk keliling beserta relawan Ganjar Pranowo bagi bagi sembako pengobatan gratis kalian membisu,,itu namanya apa kalo bukan kampanye?? kalo Anies Baswedan mah bebas dah g ada tugas sebagai pejabat publik mau sosialisasi gpp lagian ga pk uang negara"
21,DediJayaS,2023-02-20 23:30:05+00:00,"Rekam jejak capres 
Soal pendidikan aja dulu 
Adakah daerah yg SDH menyediakan sarana pendidikan wajib belajar 12 tahun ? 
Patokan nya gampang pada saat PPDB apakah seluruh siswa dapat diterima masuk sekolah negeri sesuai jenjang nya 
@aniesbaswedan
@ganjarpranowo @ridwankamil"
