,User,Date Created,Tweet
0,DandiDzulfikar,2023-02-27 23:58:50+00:00,"Prediksi Rocky Gerung soal Cawapres Pendamping Prabowo Subianto, dari Anies hingga akan Diumumkan Jokowi.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
1,AksalCandra,2023-02-27 23:58:39+00:00,"Prediksi Rocky Gerung soal Cawapres Pendamping Prabowo Subianto, dari Anies hingga akan Diumumkan Jokowi.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
2,MayaSyiffaa,2023-02-27 23:58:28+00:00,"Prediksi Rocky Gerung soal Cawapres Pendamping Prabowo Subianto, dari Anies hingga akan Diumumkan Jokowi.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
3,MWaratulhiza,2023-02-27 23:58:23+00:00,"Prediksi Rocky Gerung soal Cawapres Pendamping Prabowo Subianto, dari Anies hingga akan Diumumkan Jokowi.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
4,syalfisam,2023-02-27 23:58:17+00:00,"Prediksi Rocky Gerung soal Cawapres Pendamping Prabowo Subianto, dari Anies hingga akan Diumumkan Jokowi.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
5,DadanHamdi,2023-02-27 23:58:12+00:00,"Prediksi Rocky Gerung soal Cawapres Pendamping Prabowo Subianto, dari Anies hingga akan Diumumkan Jokowi.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
6,FiaSyaqira,2023-02-27 23:58:08+00:00,"Prediksi Rocky Gerung soal Cawapres Pendamping Prabowo Subianto, dari Anies hingga akan Diumumkan Jokowi.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
7,YustrinaA,2023-02-27 23:57:15+00:00,"Prediksi Rocky Gerung soal Cawapres Pendamping Prabowo Subianto, dari Anies hingga akan Diumumkan Jokowi.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
8,HanisaMeysa,2023-02-27 23:57:03+00:00,"Prediksi Rocky Gerung soal Cawapres Pendamping Prabowo Subianto, dari Anies hingga akan Diumumkan Jokowi.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
9,erikkkfajar,2023-02-27 23:56:57+00:00,"Prediksi Rocky Gerung soal Cawapres Pendamping Prabowo Subianto, dari Anies hingga akan Diumumkan Jokowi.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
10,azman_fauzan,2023-02-27 23:55:18+00:00,"Prediksi Rocky Gerung soal Cawapres Pendamping Prabowo Subianto, dari Anies hingga akan Diumumkan Jokowi.

@prabowo

#capres2024

#pemilu2024

#dekade08

#terusmajubersamaprabowo

#mendingprabowo

Mending Prabowo Aja"
11,DandiDzulfikar,2023-02-27 23:45:19+00:00,"Prawiro Indonesia Gaet Milenial Dukung Prabowo Subianto.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
12,AksalCandra,2023-02-27 23:45:09+00:00,"Prawiro Indonesia Gaet Milenial Dukung Prabowo Subianto.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
13,MagfiroNaila,2023-02-27 23:45:03+00:00,"Prawiro Indonesia Gaet Milenial Dukung Prabowo Subianto.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
14,MayaSyiffaa,2023-02-27 23:44:57+00:00,"Prawiro Indonesia Gaet Milenial Dukung Prabowo Subianto.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
15,MWaratulhiza,2023-02-27 23:44:53+00:00,"Prawiro Indonesia Gaet Milenial Dukung Prabowo Subianto.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
16,syalfisam,2023-02-27 23:44:46+00:00,"Prawiro Indonesia Gaet Milenial Dukung Prabowo Subianto.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
17,DadanHamdi,2023-02-27 23:44:41+00:00,"Prawiro Indonesia Gaet Milenial Dukung Prabowo Subianto.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
18,FiaSyaqira,2023-02-27 23:44:37+00:00,"Prawiro Indonesia Gaet Milenial Dukung Prabowo Subianto.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
19,YustrinaA,2023-02-27 23:43:44+00:00,"Prawiro Indonesia Gaet Milenial Dukung Prabowo Subianto.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
20,HanisaMeysa,2023-02-27 23:43:32+00:00,"Prawiro Indonesia Gaet Milenial Dukung Prabowo Subianto.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
21,erikkkfajar,2023-02-27 23:43:26+00:00,"Prawiro Indonesia Gaet Milenial Dukung Prabowo Subianto.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
22,EvaPutriSulist1,2023-02-27 23:42:13+00:00,"Prawiro Indonesia Gaet Milenial Dukung Prabowo Subianto.

@prabowo

#capres2024

#pemilu2024

#dekade08

#terusmajubersamaprabowo

#mendingprabowo

Mending Prabowo Aja"
23,azman_fauzan,2023-02-27 23:41:48+00:00,"Prawiro Indonesia Gaet Milenial Dukung Prabowo Subianto.

@prabowo

#capres2024

#pemilu2024

#dekade08

#terusmajubersamaprabowo

#mendingprabowo

Mending Prabowo Aja"
24,AksalCandra,2023-02-27 23:31:38+00:00,"Faktor yang mungkin menjadi pengaruhnya. Yakni, soal penyebutan nama Prabowo Subianto oleh Presiden Joko Widodo secara langsung di berbagai kesempatan.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
25,MWaratulhiza,2023-02-27 23:31:22+00:00,"Faktor yang mungkin menjadi pengaruhnya. Yakni, soal penyebutan nama Prabowo Subianto oleh Presiden Joko Widodo secara langsung di berbagai kesempatan.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
26,syalfisam,2023-02-27 23:31:18+00:00,"Faktor yang mungkin menjadi pengaruhnya. Yakni, soal penyebutan nama Prabowo Subianto oleh Presiden Joko Widodo secara langsung di berbagai kesempatan.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
27,DadanHamdi,2023-02-27 23:31:11+00:00,"Faktor yang mungkin menjadi pengaruhnya. Yakni, soal penyebutan nama Prabowo Subianto oleh Presiden Joko Widodo secara langsung di berbagai kesempatan.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
28,YustrinaA,2023-02-27 23:30:13+00:00,"Faktor yang mungkin menjadi pengaruhnya. Yakni, soal penyebutan nama Prabowo Subianto oleh Presiden Joko Widodo secara langsung di berbagai kesempatan.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
29,HanisaMeysa,2023-02-27 23:30:02+00:00,"Faktor yang mungkin menjadi pengaruhnya. Yakni, soal penyebutan nama Prabowo Subianto oleh Presiden Joko Widodo secara langsung di berbagai kesempatan.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
30,erikkkfajar,2023-02-27 23:29:56+00:00,"Faktor yang mungkin menjadi pengaruhnya. Yakni, soal penyebutan nama Prabowo Subianto oleh Presiden Joko Widodo secara langsung di berbagai kesempatan.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
31,azman_fauzan,2023-02-27 23:28:17+00:00,"Faktor yang mungkin menjadi pengaruhnya. Yakni, soal penyebutan nama Prabowo Subianto oleh Presiden Joko Widodo secara langsung di berbagai kesempatan.

@prabowo

#capres2024

#pemilu2024

#dekade08

#terusmajubersamaprabowo

#mendingprabowo

Mending Prabowo Aja"
32,AksalCandra,2023-02-27 23:18:53+00:00,"Dukungan masyarakat kepada Prabowo Subianto menjadi capres pada Pilpres 2024 mendatang terus mengalir.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
33,MayaSyiffaa,2023-02-27 23:18:43+00:00,"Dukungan masyarakat kepada Prabowo Subianto menjadi capres pada Pilpres 2024 mendatang terus mengalir.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
34,MWaratulhiza,2023-02-27 23:18:40+00:00,"Dukungan masyarakat kepada Prabowo Subianto menjadi capres pada Pilpres 2024 mendatang terus mengalir.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Mending Prabowo Aja"
