,User,Date Created,Tweet
0,utomotunggal,2023-02-20 23:51:31+00:00,@siregar_najeges @jokowi @prabowo @aniesbaswedan @ganjarpranowo @sandiuno @puanmaharani_ri Al Fatihah....
1,apr76499232,2023-02-20 23:50:25+00:00,mbak @puanmaharani_ri  silahkan baca ini! dan  simpulkan kpd emak anda Buk Mega! surih banyak2 bertaubat!! ingat akhirat
2,NazarRizky17,2023-02-20 23:38:23+00:00,@mihrabku Nahhh loo... apa lagi nih? @puanmaharani_ri
3,808Genja,2023-02-20 23:30:01+00:00,"@liputan6dotcom @erickthohir @ganjarpranowo @puanmaharani_ri Maksudnya ya.🤣🤣🤣🤣🤣🤣🤣

Bawaslu udah kaya Buzzer"" istana nyinyir mulu"
4,surabioncomamis,2023-02-20 23:01:09+00:00,"@mihrabku Ustdaz, kalo Ibu Mega mau ikut tapi gak dikasih bayarannya ama @PDI_Perjuangan , Insya Allah saya mau urunan, sekalian sama Mbak @puanmaharani_ri 

Ibu2 pengajian juga mau patungan kok..!"
5,renost789,2023-02-20 22:37:32+00:00,"@Widwira @KPU_ID @bawaslu_RI @DPR_RI @jokowi
@MegawatiSukarno 
@puanmaharani_ri 
Sebagai rakyat juga pendukungnya orang yg Nasionalis kok rasanya kita dizolomi jika gerakan curi start dan kampanye seperti ini dibiarkan dan tidak ada sangsinya bisa membahayakan NKRI."
6,kawaiihaerii,2023-02-20 22:33:08+00:00,"Tiba2 kepikiran, puan maharani dah nikah blm sih?"
7,Maharan96398134,2023-02-20 21:37:35+00:00,@arvindonoviar @PDI_Perjuangan @puanmaharani_ri @budimandjatmiko @ganjarpranowo @gibran_tweet Di pastikan insyaallah Ganjar pranowo melenggang  masuk istana
8,azharbtm,2023-02-20 21:00:19+00:00,@puanmaharani_ri Mbak Puan sudah mulai diserang artinya Mbak Puan sudah diperhitungkan Gerindra dan PKS sudah mulai memainkan isu PKI yg selalu dimunculkan saat menjelang PILPRES
9,loopseey,2023-02-20 20:14:40+00:00,@arvindonoviar @PDI_Perjuangan @puanmaharani_ri @budimandjatmiko @ganjarpranowo @gibran_tweet Sendal Jepit
10,AbrielRifaldi,2023-02-20 18:55:53+00:00,jangan pilih puan maharani 2024
11,JatengTV,2023-02-20 18:49:57+00:00,"(10) Dalam PT Perorangan, modal pendirian badan hukum bersifat bebas, mulai dari Rp0 hingga maksimal Rp5 Miliar. Menarik bukan? #Indonesiamaju #jokowi #ptperorangan #badanhukum #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZUnue"
12,JatengTV,2023-02-20 18:19:57+00:00,(11) Pemilik PT Perorangan bisa melakukan pemisahan kekayaan pribadi dan bisnis secara formal karena memiliki NPWP yang terpisah. #ptperorangan #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 #IndonesiaHebat #Jokowi https://t.co/HRqCfZUnue
13,Zackis_Roz,2023-02-20 18:00:16+00:00,"@arvindonoviar @PDI_Perjuangan @puanmaharani_ri @budimandjatmiko @ganjarpranowo @gibran_tweet Kalo boleh, Pak Andika-Pak Ganjar. Atau Pak Andika-Budiman. Atau Pak Andika-Puan."
14,wahyudhita2101,2023-02-20 17:50:33+00:00,"@puanmaharani_ri Akunnya Ga bisa DM mbak, untuk penyampaian aspirasi langsung"
15,SuramaduJingga,2023-02-20 17:11:57+00:00,@siregar_najeges @jokowi @prabowo @aniesbaswedan @ganjarpranowo @sandiuno @puanmaharani_ri Al Fatihah 🤲🤍❤
