,User,Date Created,Tweet
0,ariefalay66,2023-02-27 23:56:29+00:00,Bisa-bisanya bilang angka kemiskinan turun padahal faktanya naik tuh Kang Emil #ridwankamil #ridwankamilpencitraan #angkakemiskinan #gubernurjabar #jawabarat #bandung #macet #banjir https://t.co/j3QTWVOrBG
1,Adityasaputrooo,2023-02-27 23:55:52+00:00,@ridwankamil berpamitan kepada pengurus Muhammadiyah Jabar lantaran pada 2023 ini merupakan tahun terakhir menjabat Gubernur Jabar. Pamitan tersebut disampaikan saat menghadiri pembukaan Musyawarah Wilayah (Muswil) l Muhammadiyah Jabar ke-21 https://t.co/ekzRJ8TyZC
2,Adityasaputrooo,2023-02-27 23:54:11+00:00,"""Dalam konstruksi sudah biasa ada teknis dilakukan lelang ulang.Itu artinya kajiannya harus matang daripada nanti mogok di jalan.Yg penting progres pengerjan jalan terus,sabar dalam hitungan 1-2tahun lagi tol akan tembus ke Tasikmalaya,""jelas @ridwankamil 
https://t.co/IDAlcu7qiG"
3,Adityasaputrooo,2023-02-27 23:52:18+00:00,"""Luar biasa memang desain Masjid Raya Al Jabbar. Karya monumental yang didesain Pak @ridwankamil ,yang juga di kenal arsitek masjid. Dengan kehadiran masjid ini, juga menambah destinasi wisata religi tujuan masyarakat yang ada di Jawa Barat,"" ucap Mahyeldi https://t.co/YNA1XVab31"
4,Adityasaputrooo,2023-02-27 23:50:44+00:00,"Gubernur Jabar @ridwankamil  mengaku sudah menyiapkan anggaran untuk PWM Muhammadiyah Jawa Barat untuk kegiatan dan operasional organisasi ditahun 2023.

""Ada uang hibah Rp2 miliar untuk kepengurusan tahun ini dari Pemprov Jawa Barat,"" kata kang emil https://t.co/z7GeGZFjdL"
5,Adityasaputrooo,2023-02-27 23:49:03+00:00,"@ridwankamil mengapresiasi kerja sama yg terjalin antara Pemprov Jabar &amp; Muhammadiyah berjalan baik di bidang penguatan sumber daya manusia pendidikan, &amp; kesehatan.RK berharap,di kepengurusan yg baru progesivitas gerakan Muhammadiyah akan lebih baik lagi. https://t.co/6OYrw3LTca"
6,IAS_TC_Depok,2023-02-27 23:47:35+00:00,"Situasi arus lalu lintas Kota Depok dari IAS-TC 2023 02 28 06:37:03 Bagi pengguna jalan harap selalu patuhi peraturan rambu lalu lintas dan marka jalan utamakan keselamatan. @IdrisAShomad @ridwankamil
@ImamBHartono @Dishub_Dalops
@Dishub_Dpk @pemkotdepok 
https://t.co/P8Xl7TwIrB"
7,Adityasaputrooo,2023-02-27 23:47:04+00:00,"Gubernur Jawa Barat @ridwankamil mengatakan penutupan sementara Masjid A Jabbar dilakukan untuk penyempurnaan, perbaikan dan penataan ketertiban setelah 2 bulan dibuka dengan antusiasme jamaah yang luar biasa dan dinamika. https://t.co/S1zGhi2jqo"
8,Adityasaputrooo,2023-02-27 23:44:20+00:00,"Hasil Survei Lembaga Riset Public Trust Institute (PUTIN) menyatakan bahwa @sandiuno
, @ridwankamil
, dan @AgusYudhoyono
 merupakan nama-nama favorit Calon Wakil Presiden (Cawapres) yang akan dipilih masyarakat Provinsi Jambi pada Pilpres 2024. https://t.co/YJlgFRaajL"
9,acep_cepy,2023-02-27 23:36:11+00:00,"@jabarprovgoid @ridwankamil Bantu akses ke pinjaman KUR untuk pelaku usaha yang kredit banknya macet karena pandemi corona?agar bisa bangkit lagi usahanya dan ekonomi pulih?
Kredit macet sangat menyengsarakan sy, dan berdampak jg pada keluarga dan anak anak yg masih sekolah?"
10,bahayatimun,2023-02-27 23:27:04+00:00,"@detikcom Dipaké ngoméan jalan, meunang salembureun pak @ridwankamil, kamari nganter si mamah ka rumah sakit, meni ripuh pak. Jaba naek ambulan. Jaba jalan bolong dimana2. Tambalan teu rata.
Nyampe rumah sakit ngedrop dei.
Meni sedih."
11,ArahResikInd,2023-02-27 23:17:39+00:00,"@ridwankamil 
Alhamdulillah...sudah bergabung ke Partai GOLKAR...semangat teruus Kaang..!!!

Semoga jadi berkah..."
12,ArahResikInd,2023-02-27 23:14:42+00:00,"#rk24
#rkri124
RIDWAN KAMIL
For Indonesia 1 Tahun 2024.
Untuk Indonesia Maju, Adil dan Makmur.. https://t.co/heKLrb5g9H"
13,TEABOBI,2023-02-27 23:13:51+00:00,"#rk24
#rkri124
RIDWAN KAMIL
For Indonesia 1 Tahun 2024.
Untuk Indonesia Maju, Adil dan Makmur.. https://t.co/fTpJiL8C1S"
14,TEABOBI,2023-02-27 23:12:31+00:00,"#rk24
#rkri124
Prediksi Pilpres Tahun 2024 akan diikuti 4 (empat ) Capres, Yaitu :

1. Prabowo Subianto
 (Gerindra+PKB)

2. Anies Baswedan
(Nasdem+PKS+perindo+Hanura)

3. Ganjar Pranowo
(PDIP+PSI)

4. Ridwan Kamil
(GOLKAR+PAN+PPP) https://t.co/5BkO2i74hA"
15,ArahResikInd,2023-02-27 23:11:47+00:00,"#rk24
#rkri124
Prediksi Pilpres Tahun 2024 akan diikuti 4 (empat ) Capres, Yaitu :

1. Prabowo Subianto
 (Gerindra+PKB)

2. Anies Baswedan
(Nasdem+PKS+perindo+Hanura)

3. Ganjar Pranowo
(PDIP+PSI)

4. Ridwan Kamil
(GOLKAR+PAN+PPP) https://t.co/iOfOY1Qy8s"
16,info62id,2023-02-27 22:55:50+00:00,"SURVEI LITBANG KOMPAS: GANJAR PALING DIMINATI GENERASI-Z, PRABOWO KEDUA, ANIES DIGUSUR RIDWAN KAMIL
@ch_chotimah2 
@PadmavatiPrati1 
@bungkustukang2 https://t.co/F723UDRAps"
