,User,Date Created,Tweet
0,tandangalfons67,2023-01-13 23:57:34+00:00,"@kadrunmampos iya krn ahy sadar, bhw ia kagak bakal jd presiden sampe kiamat...🤣"
1,Antaredja1,2023-01-13 23:55:04+00:00,"Kita lihat saja, apakah aliran uang Enembe jg mengalir ke Partai Mercy ini. @KPK_RI tentu akan membuktikan ada/tidaknya kejahatan Korporasinya. Pidato AHY ini tanda kuat ke arah itu ‼️☹️"
2,AbdulRo86440297,2023-01-13 23:54:09+00:00,"@ElfayantiUmami @Dennysiregar7 Maka nya hp nya smartphone ya pinter dikit lah minimal, Enembe dr partai @PDemokrat anak buah nya mas AHY...malu kan jd nya lu"
3,KangSemproel,2023-01-13 23:44:05+00:00,"@pawangbanteng @bachrum_achmadi Bukan AHY nya Bro
Tapi PD nya
PD sudah 2 x menang kontestasi.
Dan suka ga suka PD sudah menetapkan utk mengusung AHY. 
Koalisi Nasdem PKS PD insya Allah bisa mendobrak dominasi merah dan ijo
https://t.co/yaT8lycmb7 https://t.co/cpjIWabiYY"
4,dwikiprazz,2023-01-13 23:42:23+00:00,"Jalankan Instruksi AHY, Demokrat Dirikan Posko Medis Bagi Masyarakat Terdampak Erupsi Semeru https://t.co/DbCSjVGGCN"
5,DemocastTV,2023-01-13 23:41:53+00:00,"AHY Singgung Oligarki, Demokrat DKI Jakarta Diminta Integrasikan Organisasi Sayap Demi Menangkan Pemilu 2024 https://ww #AHYPimpinPerubahan"
6,BobbyDarmanto27,2023-01-13 23:41:51+00:00,AHY ajak anak bangsa satukan visi misi bangun Indonesia #AHYPimpinPerubahan
7,bocqah,2023-01-13 23:41:50+00:00,CADAS!!! ELEKTABILITAS AHY DAN DEMOKRAT SEMAKIN MONCER https://t.co/lIRKWIYSwK #AHYPimpinPerubahan
8,charlesgaspoul,2023-01-13 23:41:50+00:00,"ERA JOKOWI HARGA MELAMBUNG!! EMAK2 DUKUNG AHY PIMPIN PERUBAHAN, JADI PRESIDEN!! https://t.co/Ebz2wVIDMo #AHYPimpinPerubahan"
9,arafah_5,2023-01-13 23:41:49+00:00,Demokrat Jateng luar biasa https://t.co/cn7tiaUFdb #AHY
10,bmm792003,2023-01-13 23:41:48+00:00,"@logikapolitikid kesimpulan yg mgk bisa ditarik dari statement ahy tsb :
1. ahy punya kecendrungan memiliki karakter suka menghina
2. ahy spt nya sadar tdk bisa bersaing utk jd pres/wapres
3. ahy emang bukan negarawan sejati

🫢🫢🫢"
11,sndryani,2023-01-13 23:41:24+00:00,"demokrat tukang korupsi, tambah lagi dipimpin AHY https://t.co/55G7U6M8OH #AHYAsalBicara"
12,CeritaAHY_,2023-01-13 23:41:02+00:00,Demokrat S14P Menang 14 Februari 2024.https://t.co/QjlA1UB5DH #DemokratS14P AHY Pimpin Perubahan PDemokrat AgusYudhoyono
13,triewahyu38,2023-01-13 23:30:41+00:00,@HadiWibisono10 @AgusYudhoyono Ga punya kaca si AHY jaman bokepnya presiden berapa yg di bui gara gara ngehina pake kebo wkwkwkw mikir kalau punya otak @AgusYudhoyono
14,Demokrat_TV,2023-01-13 23:30:27+00:00,"""Dengan kesederhanaan namun tetap penuh khidmat, Partai Demokrat ingin memaknai Natal kali ini untuk menguatkan pesan Unity in Diversity."" - AHY - https://t.co/i8J9W7dXdP"
15,_cakalang_,2023-01-13 23:24:18+00:00,@an_ti_ka_drun Ahy kalau ngommong kadang otaknya ketinggalan
16,SSandala1,2023-01-13 23:17:47+00:00,"SBY mantan tentara, AHY pecatan tentara.
Lah kok bisa2nya mereka gabung sama pentolan musuh negara?
Ada apa ini?"
17,shantiwalimah,2023-01-13 23:12:58+00:00,"Banyak Program ngibul, AHY Koruptor https://t.co/tEEXlFTg5u #AHYGagaldiTNIGagaldiPolitik #AHYgagalNyapres #HambalangMangkrak #SBYTurunGunung"
18,NarjiXeries7788,2023-01-13 23:12:55+00:00,AHY anjing Bacot Yang Tidak Ada Pembuktian!!!  https://twi #AHYGagaldiTNIGagaldiPolitik #AHYgagalNyapres #HambalangMangkrak #SBYTurunGunung
19,gibranleklok,2023-01-13 23:12:07+00:00,AHY: Jangan Menyalahgunakan Kebaikan dan Kesabaran Masyarakat Kita #AHYPimpinPerubahan
20,BobbyDarmanto27,2023-01-13 23:11:57+00:00,AHY berharap Pemilu tak jadi ajang kontestasi uang dan fitnah #AHYPimpinPerubahan
21,WildanPoco,2023-01-13 23:11:56+00:00,Sampai saat ini cuma AHY yang menang sbg cawapres diberbagai survey https://t.co/LvYA5ha2W0 #AHYPimpinPerubahan
22,RemusLupinTeddy,2023-01-13 23:11:55+00:00,"AHY: Insya Allah, Demokrat Istikamah Mengawal Harapan Rakyat. https://t.co/R8pzjmHip8 ##AHYPimpinPerubahan"
23,arafah_5,2023-01-13 23:11:55+00:00,"Di bawah kepemimpinan AHY, Jatim terus membiru https://t.co/NU3TAwpx1d #AHY"
24,CeritaAHY_,2023-01-13 23:11:41+00:00,Demokrat S14P Menangkan Pemilu 2024.https://t.co/sdlpZdenuK #DemokratS14P AHY Pimpin Perubahan PDemokrat AgusYudhoyono
25,BeritakanID_com,2023-01-13 23:09:53+00:00,"AHY Sudah Pasang Badan, Refly Masih Tak Percaya: Demokrat Tidak Bilang Setia ke Anies Baswedan!
https://t.co/hTkSYshJIe"
26,mamat_oking1,2023-01-13 23:09:47+00:00,@ekokuntadhi1 Ya ia lah kerna  AHY ga mungkin jd  wapres apa lg presiden biar aman dia menghujat orang inti  nya itu kan.
27,WartaEkonomi,2023-01-13 23:00:02+00:00,"Bisa Dipasangkan Sama Ganjar, Kesetiaan AHY Sama Anies Baswedan Diragukan: Jelas Tawarannya... https://t.co/NOGqLffrZL"
28,s_mulyatie,2023-01-13 22:53:24+00:00,"@KangSemproel @bachrum_achmadi Anies Aher......? Preeeeeeeet
Anies AHY......? Preeeeeeeet juga

Anies Mega.....? Naaaah ini dia 😂🤣

Cantik Pinter Karismatik dst"
29,GoStelindo,2023-01-13 22:50:59+00:00,"@ZeboLady Bagaimana kalau terhadap ahy kita hina dulu, agar nanti siapa tau jadi presiden, jadi dia sudah siap dan layak untuk dihina."
30,aariefboediman,2023-01-13 22:48:46+00:00,"Soal Perppu Cipta Kerja, AHY: Masyarakat dan Kaum Buruh Masih Berteriak
#DemokratS14P
PDemokrat
AgusYudhoyono
PD Bareng AHY
https://t.co/DxqQuktJVq"
31,aariefboediman,2023-01-13 22:48:05+00:00,"Survei Indikator: AHY Teratas Dan Paling Pantas Sebagai Cawapres
#DemokratS14P
PDemokrat
AgusYudhoyono
PD Bareng AHY
https://t.co/lSfz93XYOi"
32,aariefboediman,2023-01-13 22:47:17+00:00,"Demokrat Tegas Tolak Proporsional Tertutup
#DemokratS14P
PDemokrat
AgusYudhoyono
PD Bareng AHY
https://t.co/yEEtbqQqOg"
33,zalmuhammad17,2023-01-13 22:47:07+00:00,"@inyongmanise Yaudah gue mau hina bapaklu yah Ahy, kan termasuk demokrasi 😂. Mabok lem nih Bapak AHY"
34,aariefboediman,2023-01-13 22:46:04+00:00,"Tolak Sistem Proporsional Tertutup, AHY: Kita Tak Ingin Beli Kucing Dalam Karung
#DemokratS14P
PDemokrat
AgusYudhoyono
PD Bareng AHY
https://t.co/rA4wU6iTre"
35,aariefboediman,2023-01-13 22:45:11+00:00,"AHY: Infrastruktur penting, tapi jangan sampai melupakan prioritas kita
#DemokratS14P
PDemokrat
AgusYudhoyono
PD Bareng AHY
https://t.co/CtwqiR5YTl"
36,aariefboediman,2023-01-13 22:44:24+00:00,"Jangan pernah merasa cepat puas, jangan pernah merasa di atas angin. - AHY
#DemokratS14P
PDemokrat
AgusYudhoyono
PD Bareng AHY
https://t.co/RzAYINVWiP"
37,aariefboediman,2023-01-13 22:43:33+00:00,"AHY: Jangan Jadi Alibi Tunda Pemilu
#DemokratS14P
PDemokrat
AgusYudhoyono
PD Bareng AHY
https://t.co/CPPcKtvhCl"
38,aariefboediman,2023-01-13 22:43:00+00:00,"Kaleidoskop Tahun 2022 Partai Demokrat
#DemokratS14P
PDemokrat
AgusYudhoyono
PD Bareng AHY
https://t.co/9GDR1MQoYs"
39,gibranleklok,2023-01-13 22:41:56+00:00,"DEMI PERUBAHAN ‼️   ARUS BAWAH MINTA NASDEM, PKS, DEMOKRAT SEGERA DEKLARASIKAN ANIES - AHY #AHYPimpinPerubahan"
40,joniantonioloro,2023-01-13 22:41:54+00:00,"AHY: Selain sembako, PDemokrat juga berikan bantuan pengobatan gratis #AHYPimpinPerubahan"
41,DemocastTV,2023-01-13 22:41:53+00:00,AHY Ingatkan: Jangan Berucap yang Sakiti Perasaan Masyarakat https://t.co/7foCacIZYY #AHYPimpinPerubahan
42,BobbyDarmanto27,2023-01-13 22:41:51+00:00,"AHY SUKSES PIMPIN DEMOKRAT, BUZZER KETAR KETIR DAN TERUS TEBAR  FITNAH! https://t.co/Q55mSyvZYO #AHYPimpinPerubahan"
43,arafah_5,2023-01-13 22:41:50+00:00,AHY dan perjuangan rakyat https://t.co/daJU1bEUr4 #AHY
44,shantiwalimah,2023-01-13 22:41:50+00:00,AHY bawa sial buat bangsa kita https://t.co/ktheN7hSuP #AHYGagaldiTNIGagaldiPolitik #AHYgagalNyapres #HambalangMangkrak #SBYTurunGunung
