,User,Date Created,Tweet
0,malonda_hendrik,2023-01-06 23:59:38+00:00,@aniesbaswedan Wong Muka Tembok jelas santuyyyy...aja...kata Anies...emang gw pikirin...betul
1,JUN062022,2023-01-06 23:59:19+00:00,@Kowidongo @PaimoMontok @Mayapada1108 @1st1st2023 @modien_ganesa @SangPejuank @_SEKNAS_RI @Thomastjik @Murdian09309315 @ongky_tito @MetdroS @hs_meliala @mohamad82583073 @Siantar72 @WAHYU_UNIFORM @Hardjoeno @Rasto66010876 @PribadiBales @bembeast @Kris_Simpati @atiroh07 @AntonKu44233833 @Metdro2 @tengkuzainalar1 @anakranto64 @AwYesaya @Budi_Dharma88 @gustafadi @RiisqiRama @ermi_purba @JohnVirgoVj @FIFAcom @jakintstadium @KemenkeuRI @DitjenPK @BKFKemenkeu @ItjenKemenkeu @kemenkeulib @PPIDKemenkeu @PusdiklatKU @PSSI @KEMENPORA_RI @Deputi3Menpora @ProtokolMenpora @aniesbaswedan @NasDem @KejaksaanRI @KejatiDki @budayasaya Emang ada temuan penyimpangan dari BPK ttg sumur resapan di jaman pak jokowi ???? Dan sampai proses hukum
2,HJ_Boy_,2023-01-06 23:58:57+00:00,@zarnaout45 Banyak be er MASALAH PRNINGGALAN @aniesbaswedan !!!
3,AsatArifin5,2023-01-06 23:57:58+00:00,"@MurtadhaOne1 @MprAldo Gini amat ya buzzer @aniesbaswedan ,Bebas Menghina dan Merendahkan orang lain Demi Membela Puja'anya ."
4,Abahanang11,2023-01-06 23:57:41+00:00,KEBAYANG KALO GAMBAR DIMOBIL INI ANIES BASWEDAN.... PASTI UDAH DIGORENG SAMPE GOSONG BERJILID2 https://t.co/PqOenKeXZ2
5,JUN062022,2023-01-06 23:56:57+00:00,@Kowidongo @PaimoMontok @Mayapada1108 @1st1st2023 @modien_ganesa @SangPejuank @_SEKNAS_RI @Thomastjik @Murdian09309315 @ongky_tito @MetdroS @hs_meliala @mohamad82583073 @Siantar72 @WAHYU_UNIFORM @Hardjoeno @Rasto66010876 @PribadiBales @bembeast @Kris_Simpati @atiroh07 @AntonKu44233833 @Metdro2 @tengkuzainalar1 @anakranto64 @AwYesaya @Budi_Dharma88 @gustafadi @RiisqiRama @ermi_purba @JohnVirgoVj @FIFAcom @jakintstadium @KemenkeuRI @DitjenPK @BKFKemenkeu @ItjenKemenkeu @kemenkeulib @PPIDKemenkeu @PusdiklatKU @PSSI @KEMENPORA_RI @Deputi3Menpora @ProtokolMenpora @aniesbaswedan @NasDem @KejaksaanRI @KejatiDki @budayasaya Pendukung nya kdrun isinya iblis semua
6,ResmawanKha,2023-01-06 23:56:52+00:00,"@AliminHerman @HutahaeanAzhar @aniesbaswedan @HutahaeanAzhar gak pernah kenal ma cermin...katanya santri kok seperti gak pernah ngaji...
Kan j4ncuk..."
7,zola_papazola2,2023-01-06 23:55:41+00:00,"ruku nya beda sendiri, pantes org pada liatin.

kyak kenal, pak sugiono yaa?

sebelah kiri nya ust.kopi ?
jalan bareng nih yee !

@DPP_LIP 
@Relawananies 
@aniesbaswedan 
@bos_sir"
8,townsendbeth07,2023-01-06 23:55:09+00:00,"Gimana pak @aniesbaswedan ?😁 jangankan Lab, Rumah DP Nol aja gagal🤭"
9,JUN062022,2023-01-06 23:53:51+00:00,@Kowidongo @PaimoMontok @Mayapada1108 @1st1st2023 @modien_ganesa @SangPejuank @_SEKNAS_RI @Thomastjik @Murdian09309315 @ongky_tito @MetdroS @hs_meliala @mohamad82583073 @Siantar72 @WAHYU_UNIFORM @Hardjoeno @Rasto66010876 @PribadiBales @bembeast @Kris_Simpati @atiroh07 @AntonKu44233833 @Metdro2 @tengkuzainalar1 @anakranto64 @AwYesaya @Budi_Dharma88 @gustafadi @RiisqiRama @ermi_purba @JohnVirgoVj @FIFAcom @jakintstadium @KemenkeuRI @DitjenPK @BKFKemenkeu @ItjenKemenkeu @kemenkeulib @PPIDKemenkeu @PusdiklatKU @PSSI @KEMENPORA_RI @Deputi3Menpora @ProtokolMenpora @aniesbaswedan @NasDem @KejaksaanRI @KejatiDki @budayasaya Definisi mangkrak itu apa menurut mu iblis
10,JUN062022,2023-01-06 23:53:04+00:00,@Kowidongo @PaimoMontok @Mayapada1108 @1st1st2023 @modien_ganesa @SangPejuank @_SEKNAS_RI @Thomastjik @Murdian09309315 @ongky_tito @MetdroS @hs_meliala @mohamad82583073 @Siantar72 @WAHYU_UNIFORM @Hardjoeno @Rasto66010876 @PribadiBales @bembeast @Kris_Simpati @atiroh07 @AntonKu44233833 @Metdro2 @tengkuzainalar1 @anakranto64 @AwYesaya @Budi_Dharma88 @gustafadi @RiisqiRama @ermi_purba @JohnVirgoVj @FIFAcom @jakintstadium @KemenkeuRI @DitjenPK @BKFKemenkeu @ItjenKemenkeu @kemenkeulib @PPIDKemenkeu @PusdiklatKU @PSSI @KEMENPORA_RI @Deputi3Menpora @ProtokolMenpora @aniesbaswedan @NasDem @KejaksaanRI @KejatiDki @budayasaya Guoblok mangkrak itu apa sih iblis
11,salimsuharis,2023-01-06 23:53:03+00:00,@dantsus @Jokotrisnanto13 @aniesbaswedan Sakti dong Gubernur plt sekarang baru bbrapa saat aja udah bisa bikin gak banjir. Gimana kl diuji semua sumur resapan ditimbun aja. Toh gak kepake kan?
12,JUN062022,2023-01-06 23:52:42+00:00,@Kowidongo @PaimoMontok @Mayapada1108 @1st1st2023 @modien_ganesa @SangPejuank @_SEKNAS_RI @Thomastjik @Murdian09309315 @ongky_tito @MetdroS @hs_meliala @mohamad82583073 @Siantar72 @WAHYU_UNIFORM @Hardjoeno @Rasto66010876 @PribadiBales @bembeast @Kris_Simpati @atiroh07 @AntonKu44233833 @Metdro2 @tengkuzainalar1 @anakranto64 @AwYesaya @Budi_Dharma88 @gustafadi @RiisqiRama @ermi_purba @JohnVirgoVj @FIFAcom @jakintstadium @KemenkeuRI @DitjenPK @BKFKemenkeu @ItjenKemenkeu @kemenkeulib @PPIDKemenkeu @PusdiklatKU @PSSI @KEMENPORA_RI @Deputi3Menpora @ProtokolMenpora @aniesbaswedan @NasDem @KejaksaanRI @KejatiDki @budayasaya Yg namanya mangkrak itu satupun tidak dikerjakan spt anis bilang mau bangun pengelolaan sampah di sunter sdh peletakan bati pertama tidak ada kelanjutan nya itu mangkrak... Candi Hambalang mangkrak... Dan masih banyak lagi
