,User,Date Created,Tweet
0,konohatercinta,2023-01-30 23:59:02+00:00,@ganjarpranowo @mbakITASMG ..tapi perempuan sering grusa grusu dan kehilangan logika
1,Marcelo57427147,2023-01-30 23:58:26+00:00,"@abu_waras @ch_chotimah2 @ganjarpranowo Akun @ch_chotimah2 perusak NKRI,"
2,kimingo2022,2023-01-30 23:55:27+00:00,"@murtadhaoneee @ganjarpranowo cocokologi:
yohanies abud === kambing"
3,Ary_Prasetyo85,2023-01-30 23:53:54+00:00,@jacky_chen2 @ganjarpranowo Sama sama 😊🙏
4,WendraJumaisar1,2023-01-30 23:53:19+00:00,"@ganjarpranowo Kunci hidup bahagia n damai, jgn pilih yg di usung banteng"
5,putu_krysna,2023-01-30 23:49:27+00:00,@Dwi1975 @GlHindu @ganjarpranowo Saya pernah ke candi cetho gratis mas utk sembahyang
6,BPJPATI,2023-01-30 23:49:06+00:00,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/CJluZCPtJC"
7,rangerpink124,2023-01-30 23:47:52+00:00,"@abu_waras @ch_chotimah2 @ganjarpranowo Dia semakin stress karna tuntutan kk pembina,"
8,Ishomuddin2,2023-01-30 23:46:24+00:00,"@PendulumSosial @Simbok_Dharmi @Yurissa_Samosir @Mdy_Asmara1701 @aniesbaswedan @ganjarpranowo Lambemu dijaga. Utekmu kuotor kuwi. Mangkane lambemu gampang muni ky ngono. Aq ki yo wong jawa timur, tp ora gampang nyocot ky ngono. Ngisin2i wong jatim wae."
9,HJ_Boy_,2023-01-30 23:42:52+00:00,@abu_waras @ch_chotimah2 @ganjarpranowo Ga ada istilah males bagi PENDUKUNG GANJAR !!! https://t.co/yCHYPnPIDx
10,PowerInvestindo,2023-01-30 23:42:29+00:00,"Nah, ini baru benar, tanggapan dan komentar dg akal sehat
Bukan berdasarkan pesanan atau kebencian
@cokro_tv @SewordTv
@seword_com
@Cybernasionalis
@jpnncom @psi_id
@ganjarpranowo
@basuki_btp @jokowi
@Dennysiregar7
@MazdjoPray
@yusuf_dumdum
@rinnybudoyo

https://t.co/efF2Nqy34P"
11,cdpparmahan,2023-01-30 23:41:43+00:00,"@JanuariNadia @ganjarpranowo @mbakITASMG Jangan senang lihat org susah dan jgn susah lihat org senang tanamkan prinsip itu. Bantu org dimulai dr pribadi bukan menyuruh org lain bertindak.

Melihat kondisi rumah secara sederhana bisa dibantu dgn ganti bambu dan genteng yg rusak. (Cari solusinya bukan lihat masalahnya)."
12,Jhonpony_oye,2023-01-30 23:41:28+00:00,"Sambutan @ganjarpranowo dlm pelantikan Walkot SEMARANG @kotaku_semarang dan Ibu MEGAWATI sangat bangga dengan banyaknya kepala daerah Perempuan di @provjateng
@humasjateng @GanjarNusantara @PDIPerjuangan 
#GANTARI 
#GantariUntukGanjar 
#GanjarPranowo https://t.co/EpnivfNR8J"
13,Budionotaslim3,2023-01-30 23:39:37+00:00,"@abu_waras @ch_chotimah2 @ganjarpranowo Pendukung oon gak ada kreasi baru yg punya greget narasi jadul msh dipake radikal radikul nasi tiwul khilafah khilafeh si teteh,rakyat sdh bosan dengar narasi bauk comberan pasar"
14,Banyulangit__1,2023-01-30 23:39:35+00:00,@ch_chotimah2 @ganjarpranowo buzzer anda basi dan memalukan jualan narasinya radikal dan radikul dr pada srg jualan narasi fitnah sprti ini lebih baik jualan terasi itu lebih berkah.
15,Budipang076,2023-01-30 23:38:16+00:00,"@fadlizon Dia memang negara kaya akan minyak, kita negara kaya akan nikel, batu bara, bauksic. Dan nanti NKRI ini akan berjaya, min 5 th lagi. Itu pun kalau yg mimpin bkn temen2 bpk. Oh ya pak, sabar ya, 2024 pak @ganjarpranowo yg jadi presiden."
16,RakyatAsupan,2023-01-30 23:38:10+00:00,"Melihat latar belakang yang begitu mentereng tidak sedikit yang mencari tahu pekerjaan Siti Atikoh istri Ganjar Pranowo
#ganjarpranowo
Song Hye Kyo 
Katy Louise Saunders https://t.co/rtgrTFQn18"
17,IndonesiaPintas,2023-01-30 23:37:59+00:00,"Melihat latar belakang yang begitu mentereng tidak sedikit yang mencari tahu pekerjaan Siti Atikoh istri Ganjar Pranowo
#ganjarpranowo
Song Hye Kyo 
Katy Louise Saunders https://t.co/LDtWTxT4Ie"
18,liputpedia,2023-01-30 23:37:49+00:00,"Melihat latar belakang yang begitu mentereng tidak sedikit yang mencari tahu pekerjaan Siti Atikoh istri Ganjar Pranowo
#ganjarpranowo
Song Hye Kyo 
Katy Louise Saunders https://t.co/1wlO1TfyDp"
19,wansverde,2023-01-30 23:37:00+00:00,@yaoloyarobi @bunbunybae @bruce_wiwits @AbuWafa51611261 @chokiaan @ganjarpranowo KAKU BCT
20,RadioRasika,2023-01-30 23:35:37+00:00,"Gubernur Jawa Tengah Ganjar Pranowo melantik Hevearita G. Rahayu sebagai Wali Kota Semarang, sisa masa jabatan 2021-2026
https://t.co/1N7DfBBPOj"
21,batitongbaine,2023-01-30 23:35:03+00:00,"@PendulumSosial @Simbok_Dharmi @Yurissa_Samosir @Mdy_Asmara1701 @aniesbaswedan @ganjarpranowo Duhh hati² dgn omonganmu, kata²mu akan kembali ke anak perempuanmu, adik perempuanmu, keponakan perempuanmu atau bisa jadi ke ibumu.
Kamu bisa katain dia lonte klo kamu melihat dgn mata kepalamu sendiri, dia tidur dgn bapakmu"
22,putrama82106498,2023-01-30 23:32:17+00:00,@ganjarpranowo @mbakITASMG Wes mesra tanda2 restu di depan mata...#GP for 1
23,PutraPe68576956,2023-01-30 23:30:57+00:00,@Brewok_gondrong @PendulumSosial @Simbok_Dharmi @Yurissa_Samosir @Mdy_Asmara1701 @aniesbaswedan @ganjarpranowo Penampilan Rohani kelakuan Roh halus...🤭😅😅😅
24,PutraPe68576956,2023-01-30 23:30:00+00:00,"@PendulumSosial @Simbok_Dharmi @Yurissa_Samosir @Mdy_Asmara1701 @aniesbaswedan @ganjarpranowo Sebagai wong Jatim aq ora rumongso salah milih Presiden,paling koe sing salah Planet....🤭😅😅"
25,wietj4k,2023-01-30 23:28:19+00:00,@abu_waras @ch_chotimah2 @ganjarpranowo Si Chenul Bipang Betina Berjakun
26,DjPrasetyo85,2023-01-30 23:25:49+00:00,"@abu_waras @ch_chotimah2 @ganjarpranowo Silakan dilanjutkan celometan radikal-radikul, khilafah, &amp; politik identitas selama blm ada arahan baru dr kakak pembina 😝"
27,wisanggenixm,2023-01-30 23:25:26+00:00,@Android_AK_47 Saya pilih GANJAR PRANOWO jadi presiden...... MEDSOS...... 😃😃😃😃
28,Simbok_Dharmi,2023-01-30 23:24:09+00:00,@SobatMIDO @PendulumSosial @Yurissa_Samosir @Mdy_Asmara1701 @aniesbaswedan @ganjarpranowo Barokallah
29,editya77,2023-01-30 23:23:00+00:00,"@PendulumSosial @Simbok_Dharmi @Yurissa_Samosir @Mdy_Asmara1701 @aniesbaswedan @ganjarpranowo Hang sengsoro iro dewek...nyalahaken wong, kelendi iro kauw drun.....mbok Darmi..milih 01 ulihe 02 ambike wakile pisan..
Hang salah pilih kauw..iro drun..milih 02 hing ulih paran²..ulihe loro ati sampe 2024 mngko 🤣🤣🤣🤣🤣"
