,User,Date Created,Tweet
0,PrabaswaraRifqi,2023-01-30 23:55:17+00:00,"Prabowo Subianto: Gerindra Selalu Mengalah Demi Persatuan Bangsa.

@prabowo

#capres2024

#pemilu2024

#dekade08

#mendingprabowo"
1,NaufalIiiqbal,2023-01-30 23:54:23+00:00,"Prabowo Subianto: Gerindra Selalu Mengalah Demi Persatuan Bangsa.

@prabowo

#capres2024

#pemilu2024

#dekade08

#mendingprabowo"
2,arifstria4,2023-01-30 23:54:18+00:00,"Prabowo Subianto: Gerindra Selalu Mengalah Demi Persatuan Bangsa.

@prabowo

#capres2024

#pemilu2024

#dekade08

#mendingprabowo"
3,FarisRaahman,2023-01-30 23:53:55+00:00,"Prabowo Subianto: Gerindra Selalu Mengalah Demi Persatuan Bangsa.

@prabowo

#capres2024

#pemilu2024

#dekade08

#mendingprabowo"
4,FarisRaahman,2023-01-30 23:52:53+00:00,"Prabowo Subianto juga menambahkan Gerindra selalu mengalah demi persatuan.

@prabowo

#capres2024

#pemilu2024

#dekade08

#mendingprabowo"
5,FarisRaahman,2023-01-30 23:50:23+00:00,"Prabowo Subianto melakukan kunjungan kerja di Medan dengan beberapa agenda.

@prabowo

#capres2024

#pemilu2024

#dekade08

#mendingprabowo"
6,FarisRaahman,2023-01-30 23:42:52+00:00,"Mereka menilai, kesejahteraan pedagang pasar harus berubah serta meningkat dan Ketum Gerindra Prabowo Subianto dianggap menjadi orang yang tepat menjabat Presiden.

@prabowo

#capres2024

#pemilu2024

#dekade08

#mendingprabowo"
7,klaten_kab,2023-01-30 23:38:23+00:00,"Emak-emek di MEDAN cinta PRABOWO
#PrabowoKita #MilenialBersatu #menhanri #menhanprabowo #mendingprabowo #prabowosubianto #mendingprabowo #prabowopresiden #gerindramenang #gerindra #partaigerindra #jateng #jawatengah #gerindrajawatengah #gerindrajateng #dpcgerindra https://t.co/xS8D5eHdyw"
8,FarisRaahman,2023-01-30 23:37:20+00:00,"Menteri Pertahanan Prabowo Subianto mengapresiasi dan memuji Wali Kota Medan Bobby Nasution atas inisiatif meluncurkan program Pemuda Bela Negara Tingkat Kota Medan.

@prabowo

#capres2024

#pemilu2024

#dekade08

#mendingprabowo"
9,Akubknultramen,2023-01-30 23:32:35+00:00,Prabowo Subianto Jenguk Try Sutrisno di RSPAD Gatot Subroto - https://t.co/nucjNWEe42 https://t.co/vS09CYNsFq #IdolaEmakEmak #BangkitBersama
