,User,Date Created,Tweet
0,JatengTV,2023-01-06 23:49:57+00:00,(04) Pada PT Perorangan seluruh kendala dan resiko kerugian serta keuntungan akan dihadapi dan ditanggung oleh pemilik usaha itu sendiri. #ptperorangan #badanhukum #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZUnue
1,JatengTV,2023-01-06 23:19:59+00:00,(05) Pertanggungjawaban PT Perorangan sebatas modal yang disetor. Pemegang saham tidak bertanggung jawab secara pribadi melebihi saham yang dimiliki. #ptperorangan #badanhukum #badanusaha #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZUnue
2,Nugelo_bae,2023-01-06 22:42:04+00:00,"@BStolenbergs @puanmaharani_ri Sira nembe tangi turu ya ben....
Masih Gundam bae....."
3,Bantengketaton9,2023-01-06 22:32:44+00:00,"@CNNIndonesia Mba @puanmaharani_ri , tolong dijewer penguasa jateng yg sudah tidak peduli wong cilik, malah asik kampanye di medsos"
4,marsonom97,2023-01-06 22:20:55+00:00,@bumnbersatu @puanmaharani_ri @jokowi @ganjarpranowo @prabowo @aniesbaswedan @jpnncom @kompascom @detikcom @fadlizon Ya Ora bae lah om ..PDI bisa nyungsep ..nek Ora ngusung Ganjar CAPRES Pilihan Rakyat.
5,denmaspudji,2023-01-06 21:55:00+00:00,@Restu_Ibu_ @puanmaharani_ri @budimandjatmiko @ganjarpranowo @PDI_Perjuangan Pak Ganjar Pranowo
6,JatengTV,2023-01-06 20:19:58+00:00,(11) Pemilik PT Perorangan bisa melakukan pemisahan kekayaan pribadi dan bisnis secara formal karena memiliki NPWP yang terpisah. #ptperorangan #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 #IndonesiaHebat #Jokowi https://t.co/HRqCfZUnue
7,rizwanme3,2023-01-06 19:51:31+00:00,Ketua DPR RI Puan Maharani mengajak kaum muda untuk menerapkan prinsip Trisakti Bung Karno. https://t.co/rurSi3USiP
8,rizwanme3,2023-01-06 19:51:27+00:00,Ketua DPR RI Puan Maharani diteriaki presiden usai undang-undang pembentukan Provinsi Papua Barat Daya disahkan. https://t.co/VVTkOVsBQx
9,rizwanme3,2023-01-06 19:51:24+00:00,Puan Maharani mengatakan bakal melakukan berbagai kegiatan lebih beragam lagi pada 2023. https://t.co/owbDAIb7SC
10,rizwanme3,2023-01-06 19:51:21+00:00,Puan Maharani berbagi pengalaman kegiatan selama kunjungan kerja lewat sebuah unggahan video di akun Twitter pribadinya. https://t.co/NnbcotQumo
11,rizwanme3,2023-01-06 19:51:18+00:00,Ketua DPR RI Puan Maharani membeberkan sejumlah kegiatan yang ia lakukan selama kunjungan kerja sepanjang 2022. https://t.co/zDGmukUoVk
12,rizwanme3,2023-01-06 19:51:14+00:00,"“Sepanjang 2022, aktivitas kunker sangat beragam.  Tahun 2023 kita gasss lebih beragam lagi yaa👌🏼😉” – Puan Maharani https://t.co/M23gV9NvpD"
