,User,Date Created,Tweet
0,meiyer,2023-01-06 23:59:59+00:00,@justpeys @wongkalibanteng @ridwankamil @jokowi @mohmahfudmd @kurawa @pengarang_sajak @Leonita_Lestari Emang gak berani bliow
1,jarefunn,2023-01-06 23:59:49+00:00,@phieaja @BoyRembaya @ridwankamil ini dik https://t.co/w1MQ59vMFr
2,meiyer,2023-01-06 23:59:39+00:00,@WidodoDodo5 @ridwankamil @jokowi @mohmahfudmd @kurawa @pengarang_sajak @Leonita_Lestari Gerombolan mereka Kan gitu 😅🤣😜
3,budifebricool,2023-01-06 23:59:22+00:00,@HadiWibisono10 Biar dibaca bang jago medsos @ridwankamil
4,StefRudi,2023-01-06 23:58:52+00:00,@januarago @yusuf_dumdum @ridwankamil Dikit jg perlu tempat ibadah om. Klo kgk ada gmn mau ibadah?
5,meiyer,2023-01-06 23:58:49+00:00,@Kang_cangcimen @ridwankamil @jokowi @mohmahfudmd @kurawa @pengarang_sajak @Leonita_Lestari Ngeles dia pasti 🤣
6,Jana_Key,2023-01-06 23:58:43+00:00,@ridwankamil Kang wawasan akang kok makin menyempit ya.. kelihatan bodoh atuh.. kebutuhan masing masing daerah itu beda beda dan urgensinya juga beda beda. Harusnya semua kebijakan/pembangunan dilihat berdasarkan kebutuhan/urgensi dan keadaan daerahnya bukan membandingkan
7,super_al9,2023-01-06 23:58:25+00:00,"@ridwankamil Masalahnya transportasi untuk kesananya masih kurang kang, jalanan kecil, jangan jadikan Al Jabbar project tanpa rencana seperti BIJB yg untuk aktifnya harus nunggu infrastruktur jalan jadi dahulu"
8,meiyer,2023-01-06 23:58:25+00:00,"@santagugu @ridwankamil @jokowi @mohmahfudmd @kurawa @pengarang_sajak @Leonita_Lestari Emang adakah statement Kami Minta dibangun.?!! Makanya baca pake otak bukan pake dengkul.!
Sudahlah, IMB aja, berani gak dia @ridwankamil sebagai Gub ngeluarin.?!?!?!"
9,Sgrdamai,2023-01-06 23:57:39+00:00,"@AK__aja @ridwankamil @cholilnafis Mungkin ingin meyandang gelar seperti P. Bali yg menyandang pulau seribu Pura, jadi kalau bisa Jabar menyandang gelar daerah seribu masjid bakal keren tuh, top bingit utk wisata halal"
10,budiealtis,2023-01-06 23:57:33+00:00,@Valhallaah @jokowi @YaqutCQoumas @kemendagri @mohmahfudmd @budimandjatmiko @ganjarpranowo @gibran_tweet @bobbynasution_ @ridwankamil Emang kalo sdh di test mereka ga korupsi? Ga ttd surat perjalanan fiktif?
11,jarefunn,2023-01-06 23:57:30+00:00,@BoyRembaya @ridwankamil udah berjalan yh bangunannya? woww
12,RKristaung,2023-01-06 23:57:24+00:00,@MVRRFX @ridwankamil 🤣🤣🤣 aku yesss ...
13,ay_sangpendaki,2023-01-06 23:57:21+00:00,@bramadhi1 @mapaybandungcom Tag dong berani engga? Percuma ga di tag kalo ngmong doang mah ya pak @ridwankamil
14,banghendro7921,2023-01-06 23:57:15+00:00,"@Valhallaah @jokowi @YaqutCQoumas @kemendagri @mohmahfudmd @budimandjatmiko @ganjarpranowo @gibran_tweet @bobbynasution_ @ridwankamil kalo udah bisa mengaji itu biasanya udah gak korupsi,merakyat,sabar,jujur ..ITUKAN KATANYA BUKAN FAKTANYA🤣🤣🤣🤣🤣"
15,ay_sangpendaki,2023-01-06 23:57:12+00:00,@AbeebShahab @mapaybandungcom Tag dong berani engga? Percuma ga di tag kalo ngmong doang mah ya pak @ridwankamil
16,Sulit24301617,2023-01-06 23:57:11+00:00,"@ridwankamil Museum digital. Apa dhak sama dg yg di internet, banyak museum digitas gk laku"
