User,Date Created,Tweet,Polaritas
jpnncom,2023-01-08 23:49:52+00:00,"Pendukung @aniesbaswedan pasti tersenyum membaca ini. Tetapi belum aman lho ya.
#Pilpres2024 #aniesbaswedan #GanjarPranowo #prabowo 
https://t.co/FjrTv5VOrn",Positif
NovelBamukmin,2023-01-08 23:41:45+00:00,Bersiaplah kalian para cebong! Kami akan kalahkan kalian pada #Pilpres2024! Kemenangan aniesbaswedan adalah kemenangan khilafah,Positif
jpnncom,2023-01-08 23:26:47+00:00,"Sandiaga Uno kebelet dan bernafsu banget mendekati PPP. 
#sandiagauno #PPP #pilpres2024 
@dpp_ppp @Gerindra 
https://t.co/8FBjy2Y4nS",Negatif
NovelBamukmin,2023-01-08 23:13:19+00:00,Kalahkan PDI_Perjuangan dan Gerindra pada #Pilpres2024! Dukung NasDem demi kemenangan khilafah di bawah kepemimpinan aniesbaswedan,Positif
fajaronline,2023-01-08 22:38:33+00:00,"Elektabilitas Anies Terus Menanjak, Posisi Ganjar Tak Sebaik Prabowo https://t.co/yoA3nPa4DM #AniesBaswedan #GanjarPranowo #Pilpres2024 #PrabowoSubianto",Negatif
tribunkaltim,2023-01-08 22:17:45+00:00,"Apa yang dimaksud dengan Pemilu proporsional tertutup? Ini 5 pernyataan sikap 8 parpol yang menolak, sebut soal kemunduran demokrasi.

#TribunKaltim #Pemilu2024 #Pilpres2024
 
https://t.co/36KRpU60SQ lewat @tribunkaltim",Negatif
NovelBamukmin,2023-01-08 21:12:40+00:00,IBHRS adalah imam besar yang akan menentukan dan mengatur jalannya pemerintahan khilafah. Dukung aniesbaswedan pada #Pilpres2024,Positif
NovelBamukmin,2023-01-08 20:41:42+00:00,aniesbaswedan adalah jalan masuk kita untuk menegakkan sistem khilafah di Indonesia! #Pilpres2024,Negatif
NovelBamukmin,2023-01-08 20:12:25+00:00,"Di bawah khilafah aniesbaswedan, FPI akan dijadikan sebagai polisi syariah pembasmi kemungkaran! #Pilpres2024",Negatif
nephiIaxmus,2023-01-08 20:11:25+00:00,Jadi musti menunggu apalagi? Gaungkan tagar #AniesMenangKhilafahTegak mulai sekarang juga! Klik like dan retwit sebanyak kalian bisa! #Pilpres2024 #SANGE_AAAAAAAAAA #JarnasABW #SANGE_AAAAAAAAAAH #VCS #AniesProKhilafah,Negatif
CakBembi,2023-01-08 19:41:13+00:00,Hanya satu kata: Lawan Khilafah! #TolakKhilafah #LawanKhilafah #Pilpres2024,Positif
